Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8145.5,96.57383719,-44.13576831,3.189666852,1.667393326,1.511696567,0.170373524,0.223231415
8146,109.6187514,-33.45844273,3.390584005,2.077847307,1.793331503,0.135812406,0.23635713
8146.5,113.5612044,-22.25834787,3.749946148,2.646838676,2.408413983,0.108747745,0.245773942
8147,112.8422288,-15.54428349,4.067940052,3.222627056,3.049297308,0.10262435,0.249425981
8147.5,111.8028048,-12.59950262,4.230581779,3.683463263,3.530274747,0.092492718,0.248730055
8148,111.5168786,-12.00610458,4.278575105,3.955245508,3.80436604,0.086615176,0.245421121
8148.5,111.0622534,-12.49261557,4.320218309,4.08055227,3.98494391,0.094729898,0.241290247
8149,108.9829831,-13.80570314,4.451181472,4.143268923,4.170873009,0.105939558,0.239397794
8149.5,105.3016775,-14.90559201,4.547289069,4.18904968,4.23360108,0.113103716,0.242971063
8150,103.9717869,-14.27851588,4.43668685,4.234143657,4.226497052,0.112432136,0.249400146
8150.5,106.8835761,-12.50888541,4.262044954,4.279083122,4.228935021,0.103122265,0.251873571
8151,111.0871138,-11.10282221,4.162185156,4.281681244,4.218896376,0.091141545,0.244684258
8151.5,114.9765227,-10.97761583,4.154201118,4.193960663,4.131863124,0.081711184,0.242697664
8152,119.4561669,-13.03880852,4.244141137,4.005076382,3.930048191,0.076869117,0.248366875
8152.5,121.4062485,-20.01728982,4.444085424,3.763004857,3.659708431,0.078482281,0.252668769
8153,116.5501257,-25.20685075,4.714636895,3.517737007,3.382463257,0.096019431,0.248976822
8153.5,106.7115617,-30.36648791,5.182715126,3.309615432,3.160099153,0.134938831,0.241752507
8154,104.4893586,-39.32360589,5.876378706,3.155101079,2.995970485,0.164311776,0.235458416
8154.5,117.9912801,-46.6336233,5.852165071,3.052442324,2.865015213,0.172644244,0.233594071
8155,136.6706571,-48.14606912,5.306926107,3.000476758,2.785382497,0.168094235,0.236679516
8155.5,138.2855452,-47.01251965,4.901302104,2.995052424,2.779990957,0.157537972,0.23649714
8156,125.4753733,-47.65016388,5.01270065,3.030254266,2.845601947,0.148126504,0.227983419
8156.5,114.1502249,-50.09772264,5.532230698,3.095194081,2.935413789,0.148538623,0.216641378
8157,102.7947247,-52.75954258,6.251835385,3.157006562,3.021696537,0.154655166,0.208633701
8157.5,100.2758229,-52.80049681,6.854139223,3.186486659,3.108134195,0.158390517,0.206633383
8158,107.322903,-50.48823404,6.919819745,3.22554114,3.201373639,0.158750132,0.211149307
8158.5,115.5551259,-47.36719818,6.384258777,3.345449919,3.310739419,0.155906686,0.218538532
8159,119.1585433,-43.34428899,5.561875169,3.575094075,3.447603506,0.146532835,0.22437937
8159.5,121.5255598,-37.63627632,4.878398703,3.91121915,3.625473888,0.128220029,0.227354938
8160,127.0463428,-30.51067306,4.582643945,4.32477854,3.84982158,0.110969589,0.22899802
8160.5,128.5260352,-24.77758275,4.555177564,4.676853104,4.08787965,0.101883617,0.230251849
8161,129.4112118,-19.70599,4.657406699,4.832597316,4.289641861,0.098592608,0.231841451
8161.5,131.8397408,-14.01434515,4.737285464,4.826574769,4.406007589,0.094679547,0.234465344
8162,132.6574117,-9.123589714,4.732036222,4.738763832,4.44215187,0.090292607,0.238013784
8162.5,131.2629219,-6.687215736,4.671721666,4.651518306,4.427725456,0.090741253,0.241441649
8163,130.6690321,-5.928680059,4.590429207,4.631846577,4.394650317,0.093861893,0.244044199
8163.5,133.0842063,-5.885432588,4.517409761,4.637385094,4.374620659,0.094572087,0.245929203
8164,135.1652728,-5.62915694,4.451402952,4.598135086,4.388706286,0.092063778,0.247313872
8164.5,136.3643635,-4.830402836,4.383481713,4.540851465,4.429625196,0.086543448,0.248509034
8165,139.69879,-3.669485957,4.3432522,4.508119984,4.485232901,0.079616855,0.249881971
8165.5,144.15363,-2.371695855,4.352551133,4.529517004,4.543010908,0.072998675,0.251676427
8166,146.9044275,-1.456232952,4.426383428,4.577289584,4.58995822,0.068120728,0.253318422
8166.5,147.0137012,-1.589283813,4.581746058,4.613967921,4.619599374,0.066515369,0.253903588
8167,144.1661324,-2.793029299,4.778465855,4.631817883,4.635926417,0.073055504,0.252457589
8167.5,139.1356326,-4.405666041,4.88920767,4.630202807,4.64399062,0.086379053,0.247810836
8168,134.6795417,-5.809468498,4.862719099,4.608728222,4.648648022,0.095459518,0.242727166
