Depth (feet),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8053,83.54753523,-0.615499151,8.173208508,5.510611171,4.938951334,0.055620725,0.200000034
8053.5,78.49726006,-0.267676308,7.412074323,5.565496376,4.980292646,0.061058969,0.196516097
8054,81.40967324,0.028474253,6.723777453,5.575749089,4.989700345,0.0645447,0.195967081
8054.5,89.35195843,0.08816009,6.921213341,5.554312946,4.972011779,0.064333437,0.200015664
8055,96.27012661,-0.023339599,6.591758448,5.514659078,4.932830998,0.060899507,0.210408295
8055.5,104.9007776,-0.237762101,5.993702008,5.46620728,4.877924228,0.05530302,0.22239589
8056,103.7801327,-0.637142333,5.851355531,5.403629281,4.813242449,0.052709823,0.229266938
8056.5,100.2273267,-1.412700799,6.465557855,5.318646193,4.745849868,0.061352361,0.229539716
8057,102.5827289,-2.096720891,7.430420106,5.199620311,4.682946856,0.076254578,0.223724793
8057.5,92.47040738,-1.966153759,7.322831725,5.020003258,4.635794859,0.087456237,0.216854457
8058,87.72011145,-1.130442024,6.698879049,4.780648806,4.624662351,0.087156052,0.213866731
8058.5,87.75865178,-0.555399489,6.135975366,4.561457191,4.671432111,0.083442529,0.214170971
8059,86.3282503,-0.586993745,5.774870978,4.44371933,4.792951956,0.081553587,0.217140571
8059.5,86.94464848,-0.609038878,5.341356738,4.477691016,4.952436425,0.081235505,0.225413993
8060,88.64416053,-0.360144461,5.028384428,4.630001988,5.082922015,0.081533373,0.24055447
8060.5,92.27338305,-0.478929783,5.320590965,4.851371954,5.113354773,0.081295862,0.259501865
8061,90.14559902,-1.793016528,6.3001858,5.086758205,5.074671091,0.080780705,0.264425889
8061.5,83.00977808,-3.614285689,7.561874107,5.302465148,5.132882586,0.081497944,0.252772816
8062,77.94661509,-4.927055705,7.368993258,5.655147759,5.476241877,0.084332232,0.243220945
8062.5,75.49706414,-5.814471254,7.560429046,6.378264776,6.202582385,0.086482558,0.233188919
8063,74.36700634,-6.663430628,9.093725463,7.006574299,6.701576173,0.084937437,0.220943685
8063.5,73.3359523,-7.535178047,10.36779844,7.026663472,6.573893115,0.080892597,0.21164915
8064,71.37188147,-7.944552883,11.59889573,6.705242494,6.113114363,0.076687137,0.206721162
8064.5,69.89926642,-7.540297329,8.934760519,6.281860019,5.651426025,0.075517911,0.202967449
8065,73.47627651,-6.661264631,9.691798625,5.914086846,5.38450137,0.080665862,0.199173928
8065.5,84.82529703,-5.610974825,8.42586864,5.655756625,5.269155327,0.084538694,0.200406786
8066,92.89839516,-3.325490522,7.325163964,5.539626443,5.239809674,0.082021928,0.212918116
8066.5,94.7032496,-2.125962301,6.580150208,5.620009792,5.254352434,0.08729902,0.233270468
8067,92.42630191,-3.555783518,7.148030821,5.985248939,5.2748072,0.091502964,0.246891374
8067.5,90.21453929,-8.951204135,9.015977144,6.515950187,5.282718902,0.091549719,0.222148193
8068,87.08872407,-12.09303337,10.63787696,6.874002017,5.316025417,0.090084731,0.208557378
8068.5,78.90399205,-13.94782082,10.20162831,7.020021225,5.422432473,0.093639419,0.198772373
8069,76.93494531,-16.15819261,8.906817831,7.029615492,5.605571512,0.102124139,0.192611594
8069.5,77.59736142,-18.70784212,8.64022735,6.991278428,5.814474139,0.107368277,0.192419941
8070,71.00896804,-21.41656322,10.28074798,6.98435834,5.990181557,0.11556144,0.194383302
8070.5,65.59138168,-24.31856319,12.74227336,7.015767675,6.082452085,0.127974382,0.192608313
8071,63.21468526,-27.86087127,8.464253105,7.062541409,6.047487412,0.13732217,0.188504665
8071.5,61.76679716,-32.47731485,2.617113328,7.10126827,5.850375793,0.142879301,0.185553533
8072,57.92671178,-37.68370293,47.41108707,7.101642439,5.525087377,0.144772666,0.184458956
8072.5,58.20217666,-42.44059474,6.174256177,7.008742414,5.17572486,0.1460781,0.176480695
8073,55.30679323,-46.20289103,14.84153652,6.758285456,4.889948775,0.151127237,0.164228858
8073.5,45.81807318,-48.5276047,14.15680392,6.310396486,4.689699565,0.163912346,0.158873421
8074,47.02246923,-49.1254644,13.11467759,5.781690057,4.525372476,0.175878635,0.161736709
8074.5,51.76865255,-48.33584656,11.58752272,5.355979742,4.349552879,0.17556376,0.169506894
8075,51.87167215,-48.30396813,11.00834033,5.106359565,4.122266345,0.174062022,0.178665948
8075.5,55.77350493,-51.89227454,10.83117107,4.828052437,3.841755224,0.16518456,0.184189909
8076,59.00671679,-52.64747228,11.52599453,4.502790037,3.576691163,0.152153399,0.184031711
8076.5,58.74363827,-52.02441252,11.05548783,4.216267715,3.380238298,0.152423334,0.183576319
8077,56.88311428,-52.28089026,10.36193393,4.024719309,3.242829381,0.155681309,0.187493293
8077.5,59.48920409,-52.59091512,9.927446334,3.885722446,3.13917783,0.152094518,0.193479082
8078,60.58739998,-52.10097551,9.410393225,3.718589563,3.048053036,0.157029066,0.198306009
8078.5,62.13459458,-50.39688017,8.426710241,3.489433728,2.952646974,0.168367953,0.201889283
8079,62.09855102,-47.83273714,8.002945491,3.273913908,2.857911794,0.172176786,0.204505731
8079.5,60.32437,-45.99294729,8.163484337,3.143821663,2.780231991,0.171798845,0.204523462
8080,61.77992192,-46.11682883,8.699232145,3.109354374,2.733923885,0.170090211,0.201408487
8080.5,62.25071646,-46.09323153,9.57213494,3.162227798,2.724984323,0.169165058,0.198049489
8081,60.72753541,-43.73386973,10.1194976,3.30138485,2.754938936,0.171085698,0.196519189
8081.5,58.45735341,-41.18401894,10.37771824,3.532088159,2.83682152,0.173475354,0.194448179
8082,62.96835038,-37.26606279,9.575015248,3.844872382,3.032806684,0.165818579,0.188681559
8082.5,75.96794448,-25.74618864,8.243743781,4.182580952,3.387899828,0.151432282,0.187948697
8083,80.59484445,-16.52836712,7.392005422,4.505572368,3.801033027,0.138600576,0.197532146
8083.5,87.21057302,-8.059938105,5.567293493,4.834130909,4.185455278,0.113977279,0.207513667
8084,87.5984894,-6.79505837,7.246311282,5.197278856,4.463303632,0.091747327,0.21238071
8084.5,84.71319386,-9.664954547,9.539211605,5.580278794,4.653221961,0.087427928,0.20986751
8085,76.98527935,-13.92762771,11.94776246,5.931466937,4.850050265,0.099555414,0.200862875
8085.5,64.12135537,-17.55319498,12.7474623,6.190590827,5.077468399,0.104958641,0.186772491
8086,58.53473746,-19.51198187,11.20048821,6.308601718,5.250306567,0.108193284,0.172932851
8086.5,63.6215315,-19.79529879,9.730299514,6.30060024,5.268692764,0.105282651,0.170671511
8087,67.21377117,-19.2189282,8.988148028,6.207501961,5.112798862,0.104406091,0.177660934
8087.5,67.62256657,-19.19288637,9.754887502,6.068538102,4.868045492,0.110610465,0.18502907
8088,67.60167634,-20.11836612,12.06322853,5.899921071,4.6196387,0.116687228,0.183621866
8088.5,63.96083583,-20.73442092,13.49818986,5.709950296,4.438500086,0.125889352,0.176122437
8089,62.12635168,-19.19777081,10.65489424,5.506443172,4.373944665,0.136385818,0.174469275
8089.5,65.9786859,-12.46522594,8.032868537,5.30256471,4.398911727,0.134148578,0.182699076
8090,70.57692308,-9.592428216,6.594044698,5.465982651,4.459793467,0.116572992,0.199459805
8090.5,75.50427562,-10.79123509,6.897618199,6.111483924,4.502310324,0.10321817,0.215575299
8091,73.68944272,-13.28188746,9.145188339,6.338828128,4.470817895,0.096186867,0.20572755
8091.5,69.30871761,-15.03463301,11.47256598,6.258664748,4.3368404,0.092333113,0.204243839
8092,65.46057888,-24.68774733,13.95171222,6.052321426,4.120259194,0.09727499,0.175983062
8092.5,58.49442802,-28.59563576,14.51355236,5.749863288,3.847635799,0.118547106,0.155426774
8093,54.19618308,-26.32206931,11.14362308,5.362721624,3.544541835,0.132439403,0.158504012
8093.5,62.41437938,-23.34492207,8.596378073,4.906842866,3.237824389,0.132035251,0.166873977
8094,78.76213409,-21.6031432,7.062530767,4.405727996,2.952606904,0.115957762,0.192458068
8094.5,85.13044135,-21.74841014,5.701327618,3.898605326,2.706350096,0.129989764,0.218264628
8095,81.39751201,-27.14561336,6.424852939,3.418612128,2.50906396,0.126537334,0.220315919
8095.5,71.0795275,-42.09009068,7.632654452,2.999115688,2.351205309,0.141204706,0.215942267
8096,67.01736863,-51.31055116,7.915078082,2.676459749,2.215019241,0.144774698,0.20749277
8096.5,60.35298477,-55.70086535,8.54784403,2.468967077,2.087107436,0.177156887,0.197412902
8097,53.66466958,-59.86494076,8.784824064,2.348430621,1.967419806,0.216013494,0.188441215
8097.5,54.55353833,-64.09409162,8.265480097,2.265987761,1.863590257,0.211303632,0.183149596
8098,55.68893147,-67.85414933,7.501116234,2.181394046,1.781840209,0.193544946,0.182154904
8098.5,55.9322484,-70.65557247,6.980208913,2.079008575,1.727362826,0.189491337,0.184862816
8099,55.22292848,-72.18412728,6.76101306,1.987674516,1.700613939,0.193446856,0.190656792
8099.5,53.81254365,-72.59441455,6.612122036,1.937407308,1.696986801,0.189385422,0.19851345
8100,51.98506288,-72.44237861,6.37316586,1.954691021,1.712545044,0.186894939,0.206419359
8100.5,50.16695974,-72.27971754,6.20727867,1.992413571,1.742628008,0.191871915,0.210204545
8101,49.05907964,-72.20281149,6.222876553,2.001887487,1.777032545,0.193336393,0.207662962
8101.5,49.3337693,-71.84702072,6.301397637,2.012151828,1.803368988,0.189268486,0.202575678
8102,50.75206293,-71.15787285,6.388532324,2.033496935,1.810351186,0.186481955,0.199213614
8102.5,51.88961587,-70.78246315,6.464469055,2.043603735,1.794902938,0.18442683,0.198488174
8103,50.28759785,-71.04926243,6.517621808,2.020921967,1.75709463,0.181509566,0.198662183
8103.5,53.44751054,-71.62221417,6.558579655,1.983484971,1.70301905,0.179672606,0.197936099
8104,51.53134345,-72.10631426,6.59534477,1.947581727,1.647244763,0.181484799,0.194648384
8104.5,47.25981065,-72.27267875,6.599906998,1.907408895,1.601926981,0.18689738,0.191253629
8105,44.27884615,-72.19090237,6.532163164,1.856964053,1.571985418,0.192673936,0.192083823
8105.5,44.26303007,-71.96060398,6.379182527,1.796548211,1.560824983,0.196684945,0.196193774
8106,45.57614532,-71.53182824,6.177626947,1.741315986,1.570246007,0.200094375,0.201754566
8106.5,45.86089825,-70.55643573,5.948518546,1.707146207,1.59377692,0.204458467,0.206514487
8107,47.46207466,-68.4577215,5.665460993,1.708899067,1.622574481,0.211101923,0.208242908
8107.5,50.02547525,-63.87968696,5.34533611,1.749546228,1.647319563,0.211695485,0.204859888
8108,48.33826376,-57.87815438,5.362662897,1.81231257,1.6662177,0.197097302,0.195989652
8108.5,47.57021333,-54.58116731,5.886587393,1.877259558,1.696595542,0.182932583,0.184980902
8109,52.94379167,-55.52136916,6.772484325,1.931230596,1.760083901,0.175517875,0.176334966
8109.5,55.56838721,-55.68999344,7.308605853,1.977291095,1.882258201,0.173937347,0.17398364
8110,66.3822229,-52.62167983,7.149694766,2.054078162,2.073979716,0.176042606,0.178627722
8110.5,74.52090169,-46.17008664,6.643599783,2.254240173,2.316115126,0.175854204,0.182673791
8111,95.15735262,-35.43733818,5.975077251,2.601276048,2.579179764,0.166667509,0.18698949
8111.5,104.8471581,-22.97094512,5.30836609,2.966388204,2.848026722,0.143816265,0.200448994
8112,102.371892,-13.9084756,4.939578383,3.387495355,3.117702085,0.123272303,0.218228004
8112.5,108.6242451,-9.197655205,4.893062332,3.902430084,3.382652068,0.09752907,0.230087209
8113,117.4101638,-7.353541011,4.991666261,4.241911698,3.624327536,0.082146611,0.236076017
8113.5,124.312885,-7.208304059,5.089152451,4.394101649,3.768210161,0.086278461,0.237102611
8114,129.5767918,-9.711994559,5.24398626,4.442450775,3.761111926,0.092531264,0.235483106
8114.5,131.1668802,-14.91507567,5.979000058,4.40931057,3.673859012,0.097829593,0.235239028
8115,126.9273104,-18.78888803,6.074089072,4.318411713,3.598146733,0.108252414,0.237956214
8115.5,116.218034,-21.70969388,6.279995782,4.208554685,3.575118105,0.124912927,0.239794347
8116,104.1039538,-23.93123218,6.295601003,4.154356359,3.594560438,0.135481072,0.237270369
8116.5,99.73881436,-24.82304949,6.165682574,4.160670591,3.645111533,0.1374617,0.232004525
8117,97.04744844,-23.7534778,6.314296968,4.170793899,3.721654302,0.135084206,0.227131137
8117.5,99.03902056,-21.55914636,6.014955358,4.1854717,3.826796426,0.135990988,0.224493836
8118,102.9605882,-17.94570308,5.637900837,4.309256865,3.964403953,0.128096812,0.223675057
8118.5,104.9291366,-12.05824676,5.62806937,4.527155721,4.139187537,0.111299985,0.224025091
8119,104.2341231,-8.674767273,5.642203048,4.656269117,4.335088984,0.104980043,0.224480067
8119.5,104.0916981,-5.886239832,5.898214854,4.690147808,4.505850005,0.082432562,0.223231801
8120,104.1781245,-3.951347509,6.025449291,4.703637497,4.645214683,0.07726802,0.220504678
8120.5,96.32519517,-4.087746912,5.793706855,4.766267627,4.756691811,0.077899445,0.219554911
8121,94.83434112,-6.339043132,5.597437733,4.895805269,4.842813419,0.079775135,0.222449549
8121.5,98.58309993,-7.664452703,5.650474504,5.090869414,4.904458747,0.088412134,0.226915039
8122,100.5259232,-5.669061258,5.939054145,5.350158349,4.942891607,0.099331771,0.229961313
8122.5,104.3155151,-2.49439954,6.181014306,5.619123147,4.959726146,0.104828507,0.231979645
8123,107.6526653,-0.822218995,6.189940271,5.771390941,4.951247573,0.096058547,0.237043059
8123.5,109.3482629,-0.915618496,6.071602682,5.763858047,4.909166654,0.07965107,0.244211965
8124,110.4242157,-2.651071045,6.019685478,5.647805043,4.83700373,0.070722857,0.24789477
