Depth (feet),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
7967,103.8811041,5.514117741,4.413874499,3.666109332,3.219409711,0.044728142,0.27598166
7967.5,97.94033365,5.464092918,4.716347798,3.659324816,3.292824549,0.038466298,0.268169217
7968,100.6337962,5.360689701,4.865288073,3.646703843,3.387835791,0.034847517,0.264295093
7968.5,104.718374,5.291219536,4.625342322,3.671344826,3.50343905,0.036724366,0.264787705
7969,103.1681822,5.323927755,3.972631598,3.778587168,3.638587798,0.039891025,0.270051344
7969.5,102.063858,5.517383287,3.901481177,4.003314788,3.785905861,0.042109882,0.279166058
7970,105.4453359,5.739401651,4.466715093,4.284626204,3.925402763,0.050048678,0.281456516
7970.5,108.2261317,5.696639473,5.234166535,4.508104609,4.032998398,0.055482832,0.273442722
7971,107.2822558,5.370240221,5.730034758,4.558374557,4.077610102,0.053834717,0.261358012
7971.5,103.4221419,4.946921673,5.685772331,4.440532701,3.944073763,0.047656996,0.252379275
7972,98.96597173,4.618077546,5.164836468,4.232060371,3.6796692,0.043859059,0.25216901
7972.5,99.62433215,4.546393387,4.714139893,4.155025482,3.449916976,0.045741051,0.26017148
7973,103.5100922,4.703214287,4.446133328,4.006692794,3.329136788,0.048269946,0.273318344
7973.5,105.9153951,5.042263685,4.206011206,3.735929285,3.208027781,0.049342035,0.28831749
7974,106.7681335,5.552601499,3.764495129,3.492102707,3.053752366,0.049803212,0.301695354
7974.5,107.4563329,6.048255291,3.650279235,3.333248136,2.915760618,0.049524985,0.310857414
7975,109.6218939,6.19837718,3.574746687,3.235782398,2.812792153,0.048251142,0.314825581
7975.5,114.6182593,6.110311397,3.63713561,3.177296329,2.744693558,0.047311987,0.313452749
7976,118.6395268,6.037333176,3.88167483,3.139300131,2.710392656,0.04822835,0.309227651
7976.5,120.522472,6.046642941,3.988634901,3.11434221,2.703654076,0.050691225,0.305184043
7977,120.0737023,6.051973846,3.86969552,3.102461645,2.717577926,0.052494302,0.303277811
7977.5,115.5473845,5.902131336,3.666056172,3.102944836,2.745721506,0.052494168,0.303551072
7978,109.1577675,5.687999178,3.54607668,3.110312793,2.782031722,0.052031322,0.303202806
7978.5,105.5480213,5.591674838,3.569022361,3.117711256,2.821080977,0.05276561,0.300759354
7979,105.4795477,5.78224061,3.758911108,3.118235758,2.85727405,0.055313434,0.298014257
7979.5,108.8910023,6.16942131,3.972181274,3.105007521,2.88473616,0.057846002,0.296365878
7980,114.1742092,6.425400982,4.014010705,3.072865921,2.897301028,0.058619803,0.294945735
7980.5,114.5721128,6.361224036,3.864588663,3.035445629,2.888389043,0.056656097,0.293342897
7981,111.8445328,6.080579771,3.626916096,3.010673359,2.852873215,0.051315206,0.296046536
7981.5,110.4900799,5.74278121,3.45331339,2.99495672,2.796176418,0.045361487,0.307573729
7982,111.7404662,5.507683041,3.393583701,2.981245774,2.728896702,0.04383399,0.319069695
7982.5,112.9510847,5.432666235,3.426435521,2.96483363,2.660984965,0.046667092,0.323144629
7983,113.0371958,5.460075491,3.516409877,2.947847335,2.601437182,0.047186848,0.321416965
7983.5,112.1479239,5.52614917,3.626782573,2.933660629,2.557481841,0.041530506,0.316198397
7984,110.2341439,5.567538309,3.696097888,2.925587504,2.535166427,0.043635576,0.31033431
7984.5,106.711945,5.559173601,3.614437948,2.926823037,2.540706185,0.053348619,0.30824578
7985,105.5317127,5.54408711,3.457953972,2.938431169,2.573776152,0.051193986,0.313057784
7985.5,108.1629555,5.54267569,3.451488552,2.95954109,2.614977622,0.050794941,0.324342175
7986,112.2781361,5.534484775,3.635694428,2.989446925,2.640689926,0.051621163,0.325192974
7986.5,111.2209344,5.498292673,3.734342119,3.03158865,2.626578711,0.048337731,0.311479536
7987,111.1418392,5.433841932,3.737305453,3.093892336,2.573379576,0.040769314,0.3065646
7987.5,111.6875531,5.352542885,3.785987611,3.177077142,2.585114261,0.033420293,0.300171914
7988,109.0869518,5.265931653,3.874356079,3.264235046,2.770061156,0.034010687,0.295923015
7988.5,110.1204942,5.185544353,3.936011033,3.33432668,2.927517748,0.039167842,0.294579126
7989,119.8321907,5.122917104,3.918231739,3.365510863,2.92497878,0.037668988,0.295628216
7989.5,123.4930732,5.089469399,3.887520037,3.361265634,2.901904093,0.033466843,0.29786048
7990,125.1652008,5.084493822,3.958816351,3.355999272,2.91209492,0.034599554,0.298656628
7990.5,124.3174389,5.084729293,4.154252901,3.386036466,2.945602444,0.038221298,0.295545144
7991,118.5559007,5.064040792,4.299645366,3.481333409,2.992783659,0.033179948,0.291620592
7991.5,113.0164622,4.932733467,4.379117527,3.570557238,3.059284494,0.0194603,0.291793628
7992,113.7009252,4.477358081,4.406463844,3.609850923,3.162630715,0.020214974,0.290168211
7992.5,112.1569112,3.930155745,4.340234943,3.663609317,3.300418907,0.032558975,0.283523319
7993,113.81194,3.87708947,4.221133968,3.801279454,3.434845431,0.028313007,0.278752173
7993.5,116.6913587,2.353748646,4.249682496,3.977311315,3.523667435,0.039891454,0.275777355
7994,112.8876574,-0.741077616,4.376120385,4.083352546,3.567910998,0.05050887,0.268248271
7994.5,107.7901309,-1.954143234,4.603294411,4.127206122,3.597591617,0.050473572,0.259245904
7995,103.8646621,-1.620274325,5.597612729,4.132143021,3.644815024,0.051895397,0.254647149
7995.5,99.66873207,-0.753643484,5.735493811,4.148061554,3.738589443,0.039772683,0.235193296
7996,100.3285379,-0.349232517,5.361206295,4.268466388,3.885162255,0.037535715,0.24469617
7996.5,104.0029661,-0.476499502,4.88640944,4.593537379,4.084305064,0.040402411,0.265460308
7997,106.3263059,-0.796472664,4.642536046,5.08214906,4.342685182,0.029193017,0.296547139
7997.5,106.4928575,-1.672068389,5.591835905,5.547846068,4.8077786,0.001528402,0.307831531
7998,104.1491856,-3.435896278,6.13451236,5.906369442,5.719824169,-0.027324883,0.306133352
7998.5,98.94624622,-5.492991688,7.213749013,6.30001258,6.435597688,-0.016677283,0.278637529
7999,91.348444,-6.722337318,9.53326048,6.814057238,6.870691104,-0.00494899,0.245167603
7999.5,82.00108599,-6.952854637,11.53968348,7.437187193,7.241692927,0.02049103,0.223935404
8000,67.52096413,-6.389325262,13.09213648,8.144145971,7.640699904,0.044361657,0.179198789
8000.5,59.09356828,-5.655979217,12.94690453,8.803293707,8.030759032,0.058849499,0.165730972
8001,63.42090884,-5.445781438,11.86311634,9.215766692,8.363796376,0.067504847,0.167496397
8001.5,68.97374112,-6.451696862,11.02107752,9.474706115,8.585803455,0.073736303,0.175353074
8002,69.57425725,-9.256932385,11.23187593,9.702980459,8.649641512,0.078802622,0.185731795
8002.5,66.70136722,-12.69809983,13.93268659,9.780981206,8.53412824,0.082777743,0.190859178
8003,63.65005537,-14.71368395,16.56064169,9.57463412,8.256450446,0.085525466,0.181749627
8003.5,55.87817364,-14.69078327,15.22493624,9.064226316,7.910972682,0.086686563,0.170871963
8004,57.7523672,-13.55130383,13.29348311,8.455899598,7.610926509,0.085889848,0.172953126
8004.5,67.10950755,-11.92422694,11.07152954,8.010115764,7.452119646,0.082019504,0.181783509
8005,75.52368344,-9.274172928,7.806198491,7.778492425,7.441972145,0.072781157,0.196035508
8005.5,84.49362859,-7.112007528,8.177491404,7.738485193,7.478983156,0.062789681,0.21953934
8006,89.09827507,-6.541083129,9.067526208,7.881638745,7.480192612,0.058326444,0.234723083
8006.5,87.84117802,-6.993846749,10.34854534,8.185240698,7.556682732,0.061092245,0.231151559
8007,83.63218703,-7.119503215,10.98172231,8.507911208,7.742777511,0.063074648,0.218843212
8007.5,79.71774283,-6.350470959,10.54749422,8.65317426,8.017516665,0.061021898,0.209891696
8008,78.98983167,-7.108771445,9.922045658,8.441964785,8.360473231,0.06083929,0.212780737
8008.5,80.97036434,-7.822304235,9.943301447,8.119959166,8.763153815,0.05934397,0.221620296
8009,81.16539286,-7.612252432,10.9678176,8.241349105,9.227511144,0.062369077,0.225625133
8009.5,76.13846711,-7.517750346,11.69209202,9.230754224,9.741310284,0.07293579,0.22619383
8010,72.13136859,-8.470080898,12.77452989,10.46132704,10.27885257,0.081511596,0.225088429
8010.5,69.9791785,-10.86520381,14.35222615,10.9152239,10.80799125,0.083604693,0.221598169
8011,64.42778075,-14.81125808,14.06297694,10.93528073,11.29008065,0.085940792,0.214497154
8011.5,59.77553338,-14.05053809,14.20289898,11.32645316,11.69084586,0.090378631,0.206208726
8012,58.02892659,-18.79491023,14.43692622,13.03076161,12.06146196,0.091854569,0.204602455
8012.5,58.47044105,-32.27185208,14.07651332,14.78208747,12.50791331,0.097895512,0.205713088
8013,59.68423369,-32.97757073,15.11447849,15.13755476,13.13810128,0.106524498,0.204265921
8013.5,57.28637483,-31.45577618,21.47741986,15.00455203,13.93084065,0.118202084,0.198860968
8014,46.29648599,-35.66454137,23.43580806,15.39551574,14.80506443,0.136319863,0.190918783
8014.5,39.81465784,-41.80778431,25.77174943,16.20523186,15.85027697,0.14570604,0.181854548
8015,38.79807692,-46.05769231,27.12754207,16.84339976,16.78597878,0.16157946,0.172010634
8015.5,37.00767166,-47.50432865,27.65562501,17.16736023,16.97334722,0.166845766,0.16129656
8016,35.43873611,-47.04279542,29.35199242,17.17474583,15.90790321,0.154950846,0.153637611
8016.5,36.81593802,-45.99472718,28.37560952,17.02830072,14.34080508,0.148751973,0.150774598
8017,39.70749551,-45.6000075,24.11645137,16.1332538,13.34885006,0.14724872,0.150443093
8017.5,42.5281543,-45.78512252,21.66337836,14.37035443,12.88370587,0.142929057,0.151380733
8018,48.0420083,-45.41730987,19.39131005,13.83573825,12.55629215,0.140474931,0.154267743
8018.5,53.41923371,-43.56674691,16.5830624,13.74172622,12.23267443,0.138462751,0.158356845
8019,56.05532263,-40.47561243,16.14308739,13.63723021,11.86788602,0.133990099,0.160814296
