Depth (ft),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8036.5,42.5127408,-81.71242575,8.835838182,2.587943256,1.754491876,0.189939032,0.206212148
8037,44.1924828,-82.71833103,9.312996326,2.571543626,1.723674073,0.195005356,0.208585665
8037.5,44.65574396,-83.49366419,10.24756227,2.53276028,1.70736806,0.197845688,0.208258278
8038,43.89771803,-82.60790981,11.02689196,2.467578862,1.698980413,0.197991904,0.207543194
8038.5,43.31132964,-81.71626028,10.92049903,2.407672121,1.688611945,0.196450482,0.208366486
8039,41.29735431,-81.44678069,10.30064821,2.383033964,1.679107922,0.194501066,0.210341297
8039.5,38.24646526,-81.59734901,9.954273199,2.391088479,1.67613115,0.194762473,0.212264951
8040,37.17332093,-82.02542401,9.474721086,2.426176353,1.678673505,0.199815502,0.213445138
8040.5,37.79945057,-82.59353306,9.391102011,2.477527684,1.682153273,0.205087469,0.213546657
8041,37.31059616,-83.14745173,10.77880045,2.513560199,1.682264639,0.206721284,0.212242201
8041.5,39.04051108,-83.42207822,11.32157238,2.523691651,1.680331455,0.205526952,0.209458013
8042,38.20362677,-83.11244429,11.09878242,2.527435799,1.682392163,0.202766538,0.205764645
8042.5,34.99294066,-82.3388027,10.77864444,2.546228595,1.694494327,0.199030997,0.201835358
8043,34.51412614,-81.95584559,10.56403506,2.593235925,1.715777724,0.193713513,0.198365031
8043.5,38.15473545,-82.37201835,10.45270207,2.64573414,1.736134731,0.186104726,0.196065385
8044,40.14996075,-82.56910639,10.44380408,2.669953685,1.744407787,0.180711183,0.196430723
8044.5,40.61074815,-82.29077919,10.49479195,2.638048281,1.732470423,0.181077665,0.202272603
8045,40.38729389,-82.24457986,10.48669512,2.564663216,1.707314911,0.184190457,0.208951894
8045.5,37.6821437,-82.84495598,10.31872324,2.479607953,1.680186261,0.19244566,0.210388962
8046,37.0238636,-83.86643413,10.0987336,2.408917445,1.660834203,0.202147496,0.208564628
8046.5,38.97185361,-84.17160606,10.02117904,2.365044628,1.650900798,0.203744402,0.206204045
8047,39.6620612,-83.55997731,10.16735244,2.352773036,1.648211065,0.203387632,0.202765624
8047.5,41.72605866,-82.75325873,10.52667068,2.372551075,1.650688225,0.198340321,0.193997899
8048,44.16700336,-82.53612673,11.06790885,2.410192246,1.656307204,0.186953173,0.185359688
8048.5,42.8953797,-82.45685648,11.47053476,2.448242763,1.663019357,0.190122551,0.187479625
8049,40.52913921,-81.83450989,11.20875382,2.468255179,1.668489502,0.199607727,0.195140162
8049.5,37.48023871,-81.36836877,10.36040679,2.457303766,1.670194863,0.204420408,0.202373766
8050,34.42542834,-81.8801339,10.02881905,2.426156766,1.66561811,0.204799583,0.20688883
8050.5,32.78559643,-82.66063664,10.34371116,2.391238843,1.653683844,0.202839922,0.208005769
8051,32.88667085,-82.29919049,10.6578428,2.368215314,1.640914317,0.198263862,0.205288356
8051.5,34.4688389,-82.55104054,10.6531655,2.368396034,1.636244487,0.194040769,0.199559581
8052,36.51247515,-83.12688922,10.5640389,2.394536017,1.648586787,0.196638148,0.19246002
8052.5,38.37736229,-82.21264315,10.5803963,2.449005107,1.682396546,0.197152414,0.187002425
8053,39.98440914,-79.10265094,10.80093322,2.535274205,1.726955682,0.191051088,0.186307482
8053.5,41.74303543,-75.90891982,11.19318224,2.646919251,1.767554771,0.190979078,0.190683052
8054,44.4102937,-73.93721681,10.0985551,2.742621812,1.78896748,0.195661639,0.198254934
8054.5,48.27905261,-72.90069589,8.813863814,2.769213894,1.78568914,0.192210915,0.207175007
8055,50.76715009,-72.94508775,8.692085003,2.675274107,1.760367986,0.178744076,0.216536614
8055.5,49.53693034,-74.5540165,8.773337014,2.431680574,1.721178811,0.177260836,0.226028544
8056,46.03518634,-79.27016738,10.25385989,2.196799818,1.678453608,0.183828152,0.233642051
8056.5,41.72219264,-82.31232786,10.76189803,2.142743373,1.641723993,0.193729133,0.235211632
8057,40.07870615,-82.88498558,10.39420096,2.205472134,1.620139307,0.203811513,0.23193301
8057.5,39.97222654,-82.56469891,9.914236322,2.319753909,1.622985373,0.213685339,0.225890976
8058,50.16901555,-80.60837188,9.471079986,2.425742754,1.660206189,0.217388139,0.219397045
8058.5,50.25656685,-77.67542103,9.165530028,2.517697725,1.730781959,0.197490269,0.214372996
8059,52.93138351,-75.59163334,9.142670743,2.613109381,1.81541191,0.182674945,0.210591046
8059.5,52.36645959,-76.50509454,9.611552968,2.732786893,1.892155843,0.170615306,0.207591338
8060,46.77501714,-79.16252672,10.41509024,2.887748686,1.947958182,0.166239591,0.205150289
8060.5,46.2759534,-81.29714139,11.14645225,3.002847382,1.973502872,0.166099338,0.203450761
8061,45.20205951,-82.18675974,11.6634464,2.977901892,1.971812326,0.16630686,0.202773061
8061.5,42.99977129,-82.14461557,11.8316404,2.901547858,1.957625948,0.166113883,0.203003216
8062,40.56408228,-82.269593,11.21969458,2.829308432,1.921354356,0.176259439,0.203800243
8062.5,37.65639715,-82.91210876,9.748555943,2.670268326,1.850504599,0.181577496,0.204832001
8063,35.60512589,-83.63934057,8.962669964,2.487659169,1.763785064,0.193575461,0.207528383
8063.5,34.78878281,-84.09057526,8.962572109,2.385068353,1.686160905,0.203957099,0.213125184
8064,34.16937159,-83.84703697,9.451048578,2.34313434,1.629072632,0.202733922,0.216128284
