Depth (ft),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8097.5,108.9122342,-11.73130263,5.259174676,4.468987251,3.440782741,0.071418771,0.268120116
8098,114.3156819,-16.9025151,5.684470846,4.711356752,3.640878783,0.065418726,0.269179437
8098.5,119.715388,-22.23459533,6.378235707,4.684782457,3.771008025,0.071206717,0.273039496
8099,117.1617574,-24.80251732,6.903806865,4.600301244,3.671702013,0.080886287,0.275900086
8099.5,109.4622844,-28.12488369,7.132937632,4.532492746,3.429294774,0.109612662,0.275761366
8100,94.01322194,-32.70650857,7.262598737,4.48787535,3.293220304,0.128460744,0.275303462
8100.5,86.31907916,-32.1920823,7.307905171,4.450433052,3.317072819,0.134056547,0.27368947
8101,86.00705604,-29.91291541,7.275603586,4.403281844,3.4336266,0.14126033,0.265920249
8101.5,92.22817624,-27.83917622,7.181600257,4.332022314,3.576106264,0.13502709,0.260165874
8102,103.5405771,-23.02503528,6.574430893,4.251388958,3.698443537,0.122736014,0.260116146
8102.5,106.8343923,-20.09302284,5.174317499,4.197938049,3.795738961,0.114388534,0.262836712
8103,110.9531409,-15.39018472,4.951612991,4.197518806,3.893822282,0.099151448,0.26647492
8103.5,114.0366145,-15.79073351,4.750083693,4.239698351,4.024080859,0.093472561,0.273678611
8104,116.0052215,-15.33468299,4.808703621,4.306958635,4.171367296,0.086396336,0.283330003
8104.5,114.8790749,-12.81582358,5.026984005,4.400219251,4.276646164,0.077456146,0.288866395
8105,111.0720073,-11.42091709,5.02859278,4.540435479,4.33396819,0.077767439,0.288340708
8105.5,105.1236189,-13.69315113,4.947537794,4.737621105,4.349307768,0.081167658,0.286784556
8106,98.88863585,-16.14379758,4.749944354,4.939954607,4.354309818,0.083241885,0.289455621
8106.5,94.74352789,-14.40732252,4.693270733,5.080684229,4.350498695,0.086382551,0.296000059
8107,94.43794543,-11.45378469,4.80457383,5.157179497,4.336788678,0.092329145,0.301171384
8107.5,98.21625454,-9.84472624,4.837279662,5.198230639,4.320758524,0.097956874,0.303327614
8108,105.1703994,-8.820385255,4.900585369,5.232824388,4.309963629,0.097988323,0.303910013
8108.5,108.7354752,-7.405265687,5.041908911,5.267368421,4.310291731,0.09155874,0.304062471
8109,105.0769732,-11.21611294,5.056784119,5.294276626,4.307212764,0.087597636,0.301035178
8109.5,99.03238199,-15.19353075,4.978992881,5.305188967,4.27228094,0.092195046,0.290900477
8110,96.99290052,-17.53894441,5.356458027,5.283161524,4.184194257,0.081889079,0.276767641
8110.5,92.67715455,-19.85324663,5.236344945,5.204347314,4.0699061,0.085716717,0.264253165
8111,87.13243127,-26.18803193,7.536948105,5.051674751,3.97508702,0.087791311,0.258558926
8111.5,86.08248204,-31.63259913,7.065980488,4.85768982,3.934145876,0.095737313,0.259698135
8112,87.49202663,-33.10311143,6.496323606,4.679379137,3.940635985,0.114406002,0.263293737
8112.5,81.57969188,-32.91355339,6.627663024,4.564691194,3.976110524,0.127669875,0.265169859
8113,78.10888079,-30.54459768,6.46813982,4.504212544,4.022443512,0.150297675,0.264630684
8113.5,79.41827756,-28.99064702,6.354969153,4.430353733,4.061887226,0.10906533,0.262961984
8114,76.30451035,-25.6269774,6.032954201,4.303394739,4.100745915,0.119026556,0.260046022
8114.5,72.23673835,-23.11921291,5.680293203,4.227020418,4.172016575,0.11910024,0.254931744
8115,82.23288515,-22.32188504,5.514396852,4.30959327,4.300187127,0.115939597,0.249658434
8115.5,82.46072892,-16.25850931,5.550413394,4.575039134,4.456223116,0.112605491,0.247147121
8116,82.80615283,-13.79649477,5.413774092,4.930934904,4.591090851,0.106968738,0.249001134
8116.5,84.58488935,-13.00681195,5.307448733,5.233638912,4.677599056,0.098862635,0.254975862
8117,86.36479114,-10.0176551,5.498316409,5.384583833,4.755759382,0.083485156,0.262345569
8117.5,85.88044208,-8.085551813,5.594360056,5.402419521,4.873444592,0.064365503,0.267538899
8118,83.09771454,-9.026351432,5.532283856,5.357252087,5.0102152,0.056020891,0.268392422
8118.5,84.07204597,-9.838836525,5.475094756,5.322241269,5.094741027,0.057012671,0.265384207
8119,83.61552196,-8.230090046,5.494847202,5.355255556,5.05636073,0.062409818,0.259355183
8119.5,83.10994922,-4.826728965,5.467275005,5.432179108,4.930337421,0.06734974,0.253356804
8120,83.47519113,-1.187021583,5.338075372,5.497724,4.837254891,0.06808556,0.251176431
8120.5,82.95200394,0.69489936,5.209203857,5.508034395,4.814206661,0.064291321,0.252838116
8121,81.03005285,1.43511189,5.175432875,5.46819825,4.839660765,0.059962041,0.257747202
8121.5,79.55855014,1.532524333,5.210209251,5.395132641,4.892157257,0.057495182,0.264019042
8122,76.87369299,1.361124156,5.226024956,5.308048923,4.955420768,0.054140677,0.269034075
