Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8015.5,94.14263076,2.350650035,3.154509907,2.91683834,2.588660473,0.072825124,0.335344848
8016,97.02923154,2.446464321,3.263582203,2.908013322,2.539963212,0.063671684,0.319751915
8016.5,96.86818565,2.526293022,3.388927402,2.872139579,2.521359464,0.053395165,0.304897246
8017,95.65360312,2.590571972,3.408008426,2.824860843,2.524997753,0.04642511,0.301953168
8017.5,95.32519492,2.639741208,3.31210547,2.788076069,2.542126081,0.039567411,0.308117115
8018,96.27097224,2.674240769,3.199718846,2.78057042,2.567299646,0.035937814,0.317375479
8018.5,97.13928435,2.694510693,3.171764298,2.80799419,2.660133725,0.038526626,0.324581263
8019,96.82424856,2.70099102,3.226949327,2.871062165,2.90752642,0.039064023,0.326298564
8019.5,95.83693772,2.694364315,3.293495758,2.960237688,3.201348594,0.035557978,0.319302644
8020,94.7574411,2.678600729,3.450135457,3.03752585,3.459503905,0.034942514,0.309315814
8020.5,93.57546345,2.660037241,3.515979403,3.006732915,3.662268573,0.035806365,0.307800717
8021,92.3706594,2.645062948,3.552727247,2.939852817,3.784341238,0.035603301,0.30925311
8021.5,92.0401971,2.640066951,3.872037763,3.057924127,3.825269965,0.036668657,0.304391239
8022,93.78871235,2.651438348,4.256237056,3.334697791,3.815873383,0.043503392,0.29401909
8022.5,98.06286398,2.685566239,4.451839347,3.570406314,3.790571315,0.04966557,0.290854339
8023,97.94131297,2.74761906,4.350877982,3.683258575,3.781891286,0.05004135,0.298572367
8023.5,95.29417945,2.794905176,4.158457344,3.679452987,3.780425026,0.046529446,0.303584012
8024,121.5708719,2.722324654,4.141892009,3.69052843,3.761083722,0.041327791,0.30168634
8024.5,127.3287401,2.420582846,4.190311608,3.773483078,3.722351291,0.036760172,0.296904075
8025,7.157547971,1.780385104,4.187145237,3.915766014,3.663915431,0.035585114,0.292312635
8025.5,-137.034085,0.685041696,4.147984582,4.100632768,3.585824234,0.039556896,0.288523846
8026,-69.41714681,-1.314714351,4.116839012,4.247661843,3.496699079,0.043443225,0.283558696
8026.5,235.3240335,-5.146305707,4.106130969,4.32957631,3.452988813,0.041763775,0.276074811
8027,131.2404195,-11.84698029,4.099725307,4.378967025,3.463272406,0.03982803,0.269356241
8027.5,77.84933611,-17.47121883,4.080599642,4.421526163,3.492416071,0.045937274,0.269479908
8028,99.56575254,-18.58096371,4.041993031,4.444538385,3.594824119,0.070125161,0.280779618
8028.5,96.59180846,-18.98368232,4.060748791,4.463263415,3.835603631,0.105611818,0.307064497
8029,99.74400824,-20.6029147,4.24919823,4.597621035,4.13804287,0.108083146,0.338465613
8029.5,104.314992,-22.64596172,4.651296215,4.988542465,4.375002219,0.074653291,0.350546849
8030,105.8162341,-23.90467685,4.988947723,5.593363567,4.525920605,0.05710006,0.339465619
8030.5,101.288214,-23.96182892,5.862974549,6.284790876,4.808053526,0.070061717,0.317338603
8031,88.31487014,-23.96303266,7.916881223,6.774868257,5.544133186,0.108616256,0.299993726
8031.5,79.25571782,-23.98515384,9.864436327,7.44662946,6.924646991,0.145879125,0.277132348
8032,68.45978094,-23.88078661,15.54923218,9.929209385,8.169763083,0.153824141,0.248453526
8032.5,52.16792384,-23.74012254,19.51028882,11.65751472,8.946747495,0.148712917,0.218725016
8033,40.61932504,-23.84992215,19.97425881,11.20181204,9.949110456,0.149802003,0.19503294
8033.5,36.3872427,-24.71832655,19.0853249,11.27827124,11.44714404,0.16111165,0.185393414
8034,37.87044037,-28.48798441,17.89743812,11.87559224,12.64528012,0.16215859,0.187005599
8034.5,41.17225134,-32.21898975,17.05487854,12.0485141,13.03199947,0.155094535,0.194407772
8035,41.8818027,-33.20847725,17.04288066,11.85488128,12.80154636,0.155417507,0.202138206
8035.5,40.58692658,-33.99877124,17.82864576,11.52267428,12.27078222,0.16692075,0.204795921
8036,39.06166285,-35.37533658,19.03987904,11.24795657,11.73362865,0.180661316,0.200950586
8036.5,37.88770874,-36.949439,20.2273456,11.02508804,11.30693645,0.188780006,0.195071093
8037,36.5022251,-38.37804868,20.82692126,10.75668486,11.02417209,0.19037731,0.191547288
8037.5,35.13932257,-39.68295224,20.66077394,10.35559338,10.91293884,0.189458626,0.193390413
8038,34.66126857,-41.01854587,20.42597871,9.827722311,10.93134276,0.189557718,0.195443315
8038.5,35.84679872,-42.53144025,20.38059867,9.307478091,10.98680999,0.189025305,0.193665959
8039,36.9923059,-44.10975456,20.01270105,8.911968142,10.9853368,0.184190789,0.191365325
8039.5,37.67925668,-45.33290464,18.8864923,8.706801767,10.8336837,0.172554716,0.192579425
8040,44.52304471,-45.80434202,17.21404525,8.743545137,10.51147249,0.16543755,0.200112353
8040.5,49.8399268,-45.71991874,15.40242205,9.091937025,10.27136871,0.159910569,0.208776584
8041,51.17107354,-45.71268412,13.87236996,9.766828841,10.16285944,0.147709283,0.213579271
8041.5,51.21693264,-46.42431101,13.07042613,10.42677487,10.15508264,0.140983547,0.215525436
8042,49.92599818,-47.91416863,13.35843254,10.6253206,10.2208499,0.144565354,0.216225127
8042.5,46.6825929,-48.872606,14.26236371,10.41538749,10.32968099,0.154789423,0.214751818
8043,41.98057365,-48.96030225,15.30152747,10.09809255,10.44002945,0.170809487,0.205760686
8043.5,38.11756226,-48.76118267,17.42103536,9.957558117,10.50725914,0.180189731,0.193360578
8044,35.99945671,-48.83426237,20.3904397,10.2584845,10.4903375,0.170174858,0.184780064
8044.5,35.65286165,-49.34014766,22.56621622,10.96068123,10.49319477,0.162457779,0.185533881
8045,36.67016395,-50.24565024,22.98158293,11.5722369,10.74615638,0.160790054,0.192952552
8045.5,37.75406212,-51.45244799,22.30250018,11.72881822,11.19395518,0.163893407,0.195071507
8046,37.44785576,-52.56338688,21.41821957,11.59139595,11.65374381,0.169698336,0.185585276
8046.5,34.5630368,-53.14309039,21.13819333,11.40524547,11.9489718,0.174381202,0.172301149
8047,30.74816071,-52.91600548,21.83515485,11.30770935,12.025681,0.176455539,0.172072307
8047.5,28.79365301,-51.53767784,22.667926,11.30527607,11.93522231,0.180973621,0.17912072
8048,30.02406738,-46.76464572,22.65439785,11.39492641,11.76765238,0.185178275,0.184758106
8048.5,35.14288939,-41.66663522,21.89596484,11.55668712,11.61132837,0.184780516,0.188363495
8049,39.68000423,-39.06476212,20.89588608,11.76439482,11.55003663,0.182403915,0.191411153
8049.5,32.02478073,-35.73023395,20.10308844,11.98588042,11.66726086,0.179768686,0.190766059
8050,18.34955761,-35.57652899,19.90628445,12.14552387,12.04300835,0.174782062,0.180010624
8050.5,47.49651664,-36.40733912,20.62860961,12.14368242,12.46494801,0.1681047,0.157538345
8051,29.30826734,-35.97680924,22.14851761,11.88460384,12.38280149,0.160766003,0.14375019
8051.5,71.2832533,-34.74382321,23.35153334,11.24751411,11.30514311,0.149614394,0.140955498
