Depth (ft),GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8015.5,89.09878163,-3.11732059,6.692772074,5.843201502,5.740449279,0.085898286,0.25927028
8016,92.06941883,-1.013438982,6.487110089,5.451509348,5.549780734,0.084764569,0.265206272
8016.5,96.40700477,0.094990234,6.549667132,5.002289597,5.304066032,0.078925692,0.271316761
8017,98.08318401,0.679312715,6.581744248,4.63215634,5.020356184,0.067964308,0.284050586
8017.5,98.57486374,1.332884865,6.209846466,4.412573564,4.749624763,0.059704118,0.302546289
8018,98.94229082,1.866869468,5.734480552,4.312692749,4.533886655,0.05479469,0.321668584
8018.5,99.56087808,1.946080443,5.453606791,4.294021633,4.40814662,0.050694614,0.336199937
8019,100.4986996,1.434907796,5.439794653,4.324644639,4.38954576,0.044858937,0.342337613
8019.5,101.1992246,0.80444371,5.448494508,4.380795818,4.435852545,0.03702347,0.345002385
8020,100.6042926,0.454858247,5.451306531,4.477249755,4.516455812,0.034081554,0.352121019
8020.5,98.02416863,0.333552449,6.052427622,4.645882629,4.626424992,0.039753273,0.352133294
8021,94.64502434,0.343943404,6.750424369,4.925685338,4.735059292,0.047131029,0.32465349
8021.5,91.94663502,0.346739085,6.781232627,5.258287799,4.744539191,0.052729087,0.309653703
8022,90.90546489,0.082248175,6.778599548,5.43013641,4.883168003,0.061485421,0.286465154
8022.5,91.66329781,-0.690523237,6.73921099,5.536427097,5.472137912,0.073294384,0.272141896
8023,91.67339601,-1.99202423,6.436756123,5.7063098,6.025566032,0.085259109,0.26443551
8023.5,83.15411385,-3.766670947,6.90583615,6.059071495,6.316481161,0.097228279,0.257109534
8024,71.30526263,-5.967503517,8.082599844,6.344192202,6.512834591,0.109421006,0.248311573
8024.5,64.73851572,-8.641873069,11.33897797,6.310506989,6.621509181,0.118718636,0.238728251
8025,64.19453472,-11.82744233,11.21822024,6.294829874,6.620797183,0.119011063,0.229289502
8025.5,68.09921305,-13.268832,11.28559521,6.106357591,6.493879292,0.110176565,0.222195635
8026,72.65468534,-8.044589738,12.09387069,5.715848741,6.237507342,0.100658813,0.220090947
8026.5,79.09248248,-5.544944884,8.871055992,5.486688644,5.949903542,0.093710928,0.224102845
8027,85.84928051,-5.853939762,6.628375828,5.424766188,5.680556819,0.091209465,0.233047446
8027.5,87.51201389,-4.180033964,5.94319176,5.402168688,5.356771606,0.094379882,0.245502175
8028,86.11741106,-3.024719056,5.886388819,5.300048881,5.026452724,0.100683527,0.258882876
8028.5,83.20233043,-2.806059278,6.078964827,5.132909612,4.765600699,0.106271708,0.269362922
8029,79.37327169,-2.77985054,6.18802502,5.016305802,4.612976656,0.109671887,0.273868821
8029.5,76.10230485,-2.445900395,6.122324322,4.905530095,4.55576395,0.1127275,0.273484068
8030,76.3924355,-1.854759804,6.085493006,4.788565824,4.580298377,0.114295128,0.270605973
8030.5,78.48396457,-1.145950706,6.283692794,4.6854408,4.672968849,0.112570786,0.267201237
8031,79.01143975,-0.527974666,6.512799689,4.616730285,4.818127461,0.108443104,0.264646811
8031.5,79.79385284,-0.043804308,6.799228881,4.604568066,4.999812904,0.10322206,0.264272093
8032,80.74863002,0.690775753,6.980507857,4.672618364,5.18794986,0.098216951,0.266504997
8032.5,81.10839478,1.309660404,6.660663867,4.849087085,5.313820521,0.094736469,0.269835709
8033,83.3629364,1.294384676,6.249011012,5.07717796,5.346213181,0.093904143,0.272518889
8033.5,86.55851168,0.302500433,6.057770286,5.159897367,5.296658835,0.096281169,0.273618788
8034,86.33414423,-1.894885273,6.064140383,5.156626881,5.181479639,0.102134363,0.273374006
8034.5,83.51361502,-4.388077622,6.162158062,5.181535271,5.018586213,0.110619876,0.271761296
8035,81.07739492,-5.802017705,6.412813993,5.226113146,4.825746567,0.120487495,0.26835171
8035.5,79.2712589,-11.59337772,7.311405563,5.220522542,4.619371492,0.130550662,0.262694253
8036,69.36040703,-22.68403612,9.159948867,5.097008305,4.413836662,0.140325077,0.254415155
8036.5,64.19069968,-27.80669046,11.53972088,4.862835642,4.221281788,0.149759112,0.244086986
8037,51.50381493,-33.5057261,13.99910577,4.62351202,4.051789544,0.158782333,0.232916784
8037.5,47.89621992,-39.45310154,15.67970659,4.449129678,3.913748747,0.166729638,0.222117822
8038,42.64257676,-43.17947408,15.35941303,4.310787693,3.805082435,0.172332185,0.212777472
8038.5,43.42057051,-43.94578402,14.66258704,4.164945928,3.707064284,0.174415636,0.205857148
8039,49.00883348,-43.66094804,12.23835964,3.983965382,3.601166801,0.173433097,0.202312776
8039.5,53.95372709,-44.01136783,9.667465445,3.785228666,3.471007772,0.170999857,0.202665778
8040,57.5220191,-45.6475756,8.723702826,3.588581658,3.304992637,0.169189389,0.205828567
8040.5,55.41386928,-47.91477967,8.616590909,3.404780681,3.11497489,0.17768463,0.210349094
8041,50.00519102,-50.95885867,8.713803475,3.242164488,2.923380671,0.188622334,0.214970443
8041.5,45.69006328,-54.49207812,9.131380288,3.105606531,2.748312069,0.190809373,0.218638589
8042,42.09151508,-56.73138858,9.799393273,2.99230239,2.603309472,0.19088977,0.22038171
8042.5,41.7805265,-57.91699972,9.810934469,2.898347252,2.487797884,0.190070373,0.220220083
8043,45.40118935,-58.74938963,9.307674139,2.819721911,2.389661084,0.187098541,0.218889334
8043.5,47.34575208,-59.89103364,9.196070233,2.740780084,2.298179963,0.184693284,0.217070613
8044,46.19636033,-61.96929984,9.431758222,2.637830592,2.204209385,0.185809154,0.215353866
8044.5,44.15745818,-65.4887652,9.888350988,2.492469906,2.100446036,0.193201958,0.214167668
8045,37.49133628,-69.39786309,10.24279894,2.32313905,1.989163287,0.206422896,0.213578601
8045.5,31.69436458,-72.04302044,10.26993284,2.173839287,1.880187939,0.218835062,0.213499087
8046,30.92786355,-75.97322974,10.05637757,2.073960997,1.781779055,0.223719363,0.213659106
8046.5,30.75791341,-78.78371741,9.712961988,2.012051077,1.700505477,0.221018186,0.213819618
8047,30.38927884,-79.10286804,9.341933064,1.964820833,1.641807033,0.214671363,0.213905746
8047.5,29.85836551,-78.63703551,9.204329815,1.912232255,1.607535657,0.208328876,0.213876479
8048,29.64919331,-78.78538833,9.579446215,1.857483791,1.591614585,0.203425985,0.213690807
8048.5,30.06891239,-79.00498213,9.972675392,1.831202709,1.588166723,0.200520891,0.213304886
8049,30.40369243,-78.92034608,9.823467117,1.860573218,1.596008536,0.200086978,0.212636221
8049.5,30.77287099,-78.81679363,9.430277574,1.932120064,1.615880635,0.201682194,0.21157436
8050,31.64476431,-78.82944061,9.142222213,2.006568295,1.648820389,0.204294157,0.210008227
8050.5,32.55098113,-79.03729253,9.089552922,2.050695527,1.694638732,0.20664755,0.207943328
8051,33.04611803,-79.11624767,9.233043347,2.069570414,1.747533767,0.206795137,0.206193683
8051.5,33.40681133,-78.34118628,9.388426079,2.078045888,1.799707493,0.202985194,0.205902903
8052,33.95517988,-76.68897064,9.377616798,2.082682413,1.842553825,0.197995314,0.207074935
8052.5,33.7200881,-74.75422899,9.232963319,2.078200813,1.867320047,0.196462358,0.207730835
8053,32.0320991,-73.1010504,9.094842787,2.059334814,1.865380734,0.19706613,0.207064532
8053.5,30.67322932,-72.2610642,9.092896266,2.027891888,1.832386014,0.197066509,0.206153551
8054,32.27597232,-72.21316318,9.008784794,1.989472676,1.78051568,0.193978468,0.206211099
8054.5,34.16943523,-69.71769158,8.291024992,1.949449711,1.725780593,0.190362872,0.208442879
8055,35.21457438,-67.10074026,7.689833964,1.912556826,1.682550113,0.191914338,0.213212489
8055.5,36.27324291,-66.84961405,7.586207579,1.877959952,1.661359337,0.197568567,0.219282302
8056,36.23596936,-67.37703745,7.253479489,1.840061304,1.650659397,0.204254181,0.22508822
8056.5,31.97447681,-68.7317133,7.231026142,1.793547405,1.628332704,0.210291319,0.228529318
8057,26.28631006,-71.89950578,7.791349082,1.739047431,1.576546317,0.216743479,0.227548301
8057.5,24.97552616,-74.88451411,8.117263846,1.693187919,1.510400378,0.221335117,0.22411707
8058,25.95250593,-76.80629849,8.457324179,1.674020284,1.460644754,0.221096739,0.222025563
8058.5,27.18379009,-78.33996132,8.68184888,1.69323822,1.452472251,0.214943859,0.220318827
8059,27.69512692,-79.37744092,8.889530653,1.741348494,1.483087854,0.210300361,0.218215202
8059.5,29.58165886,-79.12657055,9.039019683,1.803933566,1.531358975,0.21163071,0.216211984
8060,32.46931962,-78.15088006,9.074331882,1.865281963,1.574240516,0.215868848,0.21492157
8060.5,32.37111124,-77.18585438,8.926425976,1.911711635,1.587074873,0.219398964,0.214956358
8061,30.30746134,-77.03980275,8.539492852,1.931877929,1.568087687,0.219691181,0.216385037
8061.5,28.31860232,-76.68928584,8.103175939,1.928874141,1.542405297,0.216728169,0.216187227
8062,27.34291988,-72.62565361,8.024372914,1.928699969,1.535579988,0.211984778,0.210992183
8062.5,26.45368108,-71.38307624,8.572436401,1.948991153,1.572932894,0.207746736,0.205944056
8063,27.36367446,-70.39058151,8.835543116,1.969943634,1.653956869,0.204222942,0.205345037
8063.5,29.17266397,-68.17842042,7.892458649,1.962593559,1.719926704,0.199512582,0.20516852
8064,30.57926528,-65.83127933,7.788481405,1.909385804,1.73264412,0.195920612,0.203276449
8064.5,32.65289971,-65.59807633,8.039489792,1.837193528,1.706574255,0.197354506,0.20330959
8065,34.62977547,-66.46975111,7.673789421,1.780409385,1.662539739,0.203582335,0.207759474
8065.5,34.9616665,-68.35506481,7.042425796,1.751341119,1.619821339,0.21118444,0.211213748
8066,33.37230101,-70.67758489,7.889026506,1.732681863,1.582411364,0.216923773,0.214312485
8066.5,31.14763203,-73.41684901,8.470805633,1.705679711,1.542199002,0.219975668,0.217250218
8067,29.3783171,-76.54425365,8.231637367,1.657378037,1.491512311,0.220769836,0.218857855
8067.5,28.75826355,-78.72110387,8.159837876,1.601790033,1.424757308,0.218948269,0.218386059
8068,27.44834666,-79.46511358,8.483252692,1.560240341,1.380032889,0.213985561,0.216179895
8068.5,27.67728885,-79.49566707,8.408137914,1.548751881,1.382274543,0.20836442,0.213006619
8069,28.66732564,-79.52816056,8.408709216,1.560759262,1.397331309,0.205226092,0.209658282
8069.5,29.3346945,-79.3408391,8.449668665,1.589286235,1.397525652,0.204876029,0.20654472
8070,29.88239978,-78.50903291,8.404217648,1.642286467,1.397855558,0.20600533,0.203571103
8070.5,30.99315142,-77.39699578,8.276286104,1.729047994,1.418791376,0.207285042,0.20060919
8071,30.87048526,-76.16516795,8.374214197,1.83328945,1.448640181,0.207171736,0.197705521
8071.5,27.48189058,-74.64295949,8.776731266,1.91485717,1.48351012,0.203675009,0.195267488
8072,27.13381441,-71.94470001,9.659641937,1.972379269,1.526043504,0.194749074,0.193747091
8072.5,33.35485648,-65.82434621,10.81513438,2.027835608,1.578991915,0.181079899,0.193596499
8073,39.3023127,-56.29866083,9.545784651,2.012929712,1.637026923,0.172496824,0.195440585
8073.5,46.25479405,-53.14124826,9.030400386,1.952244758,1.683660173,0.178135105,0.200403695
