Depth (ft),GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8107,38.34801902,-54.37309979,6.102042951,1.80473158,1.649601294,0.210472946,0.228050545
8107.5,42.30241339,-50.13635502,6.589673595,1.914329028,1.665546618,0.213436575,0.226557933
8108,53.81635597,-44.25455346,6.327762348,2.054711761,1.82973897,0.189730032,0.227000357
8108.5,60.40308729,-38.20586783,6.313216613,2.246213692,2.020618841,0.165385103,0.230443089
8109,73.97239626,-31.09876054,6.078729051,2.549053534,2.182088993,0.146374101,0.236418618
8109.5,85.59109342,-21.69254687,5.167335792,3.028251061,2.418870453,0.12794155,0.244124562
8110,98.46184406,-14.89655723,4.886208359,3.519958096,2.679479837,0.117461823,0.252753175
8110.5,103.7677585,-12.81173684,5.092380602,3.794954438,2.888755751,0.111424031,0.261395453
8111,104.8538817,-12.21272312,5.498023201,3.779405842,3.055932511,0.109913754,0.269052038
8111.5,101.4415527,-13.32825301,5.535992753,3.649727652,3.193218321,0.119597319,0.271992991
8112,95.1391323,-17.03875759,5.621256041,3.516705001,3.300741844,0.133928258,0.267998127
8112.5,89.18576879,-22.85402238,6.104549535,3.433596372,3.363230963,0.145274332,0.262648396
8113,82.7116876,-25.34215719,6.503359038,3.448756638,3.366879838,0.149711792,0.260027162
8113.5,76.94859203,-25.67343633,6.614304859,3.565845504,3.354130177,0.151806125,0.259779158
8114,74.78712579,-25.89179934,6.674138938,3.709414208,3.398136129,0.146786232,0.260830037
8114.5,78.09095541,-21.9210104,6.536457309,3.793252614,3.488586111,0.134822531,0.262140861
8115,83.73342933,-17.75295081,6.072232477,3.810936373,3.576334483,0.127274541,0.263101784
8115.5,86.2716033,-15.72767524,5.51552442,3.816629544,3.658366492,0.121879929,0.263388327
8116,88.66468191,-12.69503136,5.223106659,3.867154244,3.732605753,0.113327187,0.262697151
8116.5,89.13453446,-8.845540372,5.258357539,4.005279049,3.796892437,0.109728453,0.261124547
8117,88.61243016,-6.132798368,5.26651841,4.161527062,3.852284844,0.109396346,0.25918506
8117.5,87.03056968,-4.770182959,5.250074221,4.240090565,3.931586121,0.10910731,0.257412946
8118,85.19534115,-4.554078379,5.25493413,4.290162383,4.043506057,0.110351411,0.25634246
8118.5,85.30069146,-4.879686192,5.257782909,4.402137827,4.15604313,0.117264484,0.256507857
8119,85.90118624,-5.003102843,5.230142112,4.566025404,4.232339005,0.124190254,0.258412971
8119.5,87.2032745,-4.276405864,5.156140844,4.696746834,4.238135417,0.120976129,0.261710117
8120,93.25854502,-2.480099912,5.073605461,4.706390747,4.180325597,0.116950697,0.265106075
8120.5,97.47025832,-0.126816379,5.182679212,4.610478845,4.087791015,0.111443883,0.267272274
8121,94.97538509,1.044167156,5.437101694,4.500996429,3.98853984,0.105980081,0.268127023
8121.5,92.39947139,-0.227584148,5.259573808,4.45773188,3.899048807,0.124940743,0.269803942
8122,88.87820081,-1.42157243,5.471919389,4.424614854,3.819743621,0.138301714,0.274039911
8122.5,83.75752194,-7.337496829,6.001977151,4.240862607,3.7497403,0.146068021,0.277007509
8123,78.01334961,-17.08579037,6.661548226,3.892453216,3.658806811,0.1594644,0.271959348
8123.5,72.81636888,-21.33355124,7.396578525,3.578549345,3.493630875,0.171446129,0.257390564
8124,70.60979297,-21.50152791,7.881628144,3.402129766,3.395521307,0.14770673,0.248912033
8124.5,73.47985374,-19.20677856,7.625318295,3.359147222,3.361526207,0.133880115,0.247960865
8125,78.3145394,-16.05130936,6.751149286,3.42813805,3.380419882,0.270189401,0.253243258
8125.5,81.86837162,-13.51113304,5.774363767,3.569867399,3.457041566,0.35455817,0.263139417
8126,84.12899786,-11.63411535,5.263205712,3.743064992,3.595716329,0.025920847,0.273519706
8126.5,85.36998597,-9.383871175,5.067471442,3.926467547,3.748893854,-0.488179333,0.281466679
