Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8169,133.3720667,2.952738254,3.916049612,2.950327131,2.792702423,-999.25,0.265100862
8169.5,134.0033131,2.661208482,3.602583283,3.099928047,3.019346594,-999.25,0.275856844
8170,137.4314569,2.219584818,3.271078126,3.233718009,3.207642026,-999.25,0.285991519
8170.5,141.204262,1.36949861,3.175290278,3.354953742,3.333490999,-999.25,0.289923395
8171,139.1020206,-0.102743794,3.374095634,3.474042858,3.44055568,-999.25,0.287481972
8171.5,127.8783846,-2.361445708,3.827061716,3.5989071,3.537299727,-999.25,0.27921022
8172,115.2909307,-5.482435166,4.394007237,3.72658723,3.615769254,-999.25,0.260618519
8172.5,106.756576,-8.714730737,4.790277886,3.851543444,3.667599095,-999.25,0.23347759
8173,91.16951773,-10.87021973,4.861184393,3.964620796,3.681815356,-999.25,0.226634382
8173.5,85.43252058,-11.85186953,4.698997798,4.038861992,3.608836547,-999.25,0.216685274
8174,86.85049794,-13.07467973,4.435235269,4.036488995,3.427490838,-999.25,0.219997842
8174.5,85.20167983,-16.06408235,4.190278336,3.762522764,3.151360952,-999.25,0.230342671
8175,84.57257492,-21.51908764,4.06164914,3.001837996,2.802530493,0.106703862,0.240036188
8175.5,86.5089391,-27.4524916,4.137587791,2.385572449,2.425970272,0.150833996,0.24509496
8176,88.2701612,-43.30041856,4.420224238,2.089426351,2.108284692,0.177831396,0.245311492
8176.5,88.16207063,-58.00778001,4.650717717,1.967550793,1.906140432,0.185537004,0.241506576
8177,87.45862048,-62.48686914,4.774195738,1.942142261,1.815645733,0.186582579,0.234677351
8177.5,87.78243173,-66.41740552,5.148907383,1.959647547,1.787187942,0.192948999,0.227831044
8178,88.57876193,-71.31886038,5.473509061,1.978677483,1.778961712,0.204710108,0.219442244
8178.5,88.42958946,-75.51517298,5.356335072,1.999285255,1.76105795,0.211897022,0.204023048
8179,89.12018182,-78.14988686,5.189775299,2.036366139,1.755728026,0.209271686,0.192199885
8179.5,89.95812482,-79.95131483,5.39836156,2.104672151,1.804347926,0.206131718,0.188482528
8180,89.39154879,-81.22914935,5.987057142,2.204046441,1.927123413,0.207896038,0.189112722
8180.5,87.86327054,-82.13130003,6.15614446,2.323304764,2.044650052,0.211145325,0.19016749
8181,86.55319939,-83.3834299,6.44217932,2.444914847,2.116889723,0.211833402,0.188877625
8181.5,86.0005151,-81.91294859,6.436809287,2.543575125,2.17307308,0.205922181,0.186330157
8182,86.65104851,-75.37864004,6.141686772,2.59287906,2.249744724,0.194452128,0.184416815
8182.5,87.75118465,-73.46714964,5.946386214,2.601753038,2.355380204,0.187594597,0.185029331
8183,87.97755912,-74.06976366,5.877617137,2.607608337,2.373337338,0.188135402,0.18853853
8183.5,88.13217865,-72.66040877,5.902593104,2.613757907,2.307473885,0.191980614,0.187424915
8184,89.155944,-71.81770899,5.934758773,2.537265618,2.225982613,0.19084698,0.17932952
8184.5,90.3512935,-72.43907083,5.884279655,2.39936698,2.185683851,0.187592823,0.17104398
8185,90.85103422,-72.83570548,5.705420645,2.276323191,2.186734632,0.188539394,0.167181505
8185.5,90.80230312,-72.89857931,5.516389211,2.207385201,2.20063688,0.184181602,0.167881036
8186,90.513038,-72.81258476,5.275112477,2.219971344,2.198775466,0.179077583,0.172514495
8186.5,90.0144237,-72.72860232,5.003984828,2.298850468,2.165481694,0.184286898,0.178712152
8187,89.3711486,-72.23462791,5.018256881,2.383759481,2.117125803,0.187911773,0.183670821
8187.5,89.16853571,-70.49512092,5.326360734,2.421211218,2.073836648,0.187909161,0.1862136
8188,90.06220876,-68.06303762,5.74430383,2.4198502,2.054259823,0.186300969,0.186382249
8188.5,92.30823969,-66.61988453,6.014647684,2.40586171,2.071226509,0.1839131,0.184572304
8189,94.59001439,-64.82999232,5.876371187,2.402129062,2.111765216,0.181372978,0.18177591
