Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8154.5,30.23415809,-58.38015019,7.394507332,4.130816969,3.560338643,0.153875029,0.199806361
8155,32.17438695,-57.70308628,7.615440235,4.038552551,3.479265305,0.164128069,0.203279437
8155.5,33.70069229,-57.31202853,7.459090892,3.965348856,3.398537575,0.170592407,0.207032754
8156,34.70613291,-57.12248094,7.12346779,3.935747538,3.315341744,0.169308263,0.211073652
8156.5,35.56905608,-56.85281824,7.01275361,3.915442947,3.234499819,0.163765783,0.212378823
8157,36.66762972,-56.21827364,6.938644473,3.815576646,3.161729771,0.161488811,0.209282871
8157.5,38.20931329,-54.93701105,6.794574396,3.682576042,3.102253903,0.166438968,0.20863207
8158,40.23850117,-53.0633636,7.175222463,3.665728996,3.06135767,0.173492784,0.211543805
8158.5,42.79298208,-51.29486172,7.458887832,3.85637902,3.06249113,0.176122374,0.212100831
8159,45.35555331,-50.32595171,7.117080186,4.130902892,3.157251073,0.168561578,0.21093974
8159.5,45.53615073,-50.17733063,6.637025892,4.315864247,3.405882097,0.153050385,0.212883359
8160,40.62434416,-50.51617967,6.149200468,4.464619381,3.743833798,0.136617598,0.219461952
8160.5,35.79102168,-51.00655538,5.759073184,4.746431694,3.970384903,0.126133846,0.224084158
8161,33.60034595,-51.31251431,5.577932285,5.116064046,4.098206961,0.122999425,0.225562265
8161.5,32.48698092,-51.10035311,5.753662569,5.303264865,4.24137768,0.122943033,0.22813709
8162,32.33783214,-50.14256772,6.237353454,5.356186622,4.519212345,0.121479757,0.233512922
8162.5,33.24905353,-48.36181725,6.851434914,5.881949419,4.942842805,0.117475796,0.234399369
8163,34.20443822,-45.69212573,7.638473523,6.786747748,5.447799565,0.115414175,0.221726567
8163.5,33.98010743,-42.08364396,8.475217408,5.54361502,5.989822311,0.121987659,0.202140773
8164,34.57599806,-37.72728346,9.641970976,4.646910626,6.631944678,0.140470485,0.18584445
8164.5,44.34193454,-32.999016,10.74017749,11.54197973,7.484523807,0.146133223,0.165654488
8165,63.86780741,-28.24334508,10.81656254,7.473959651,8.664515713,0.121896532,0.145160634
8165.5,82.67683086,-22.9383032,11.97635147,0.225308883,10.08580878,0.084027062,0.126613767
8166,99.12587736,-15.67637501,24.96705489,1296.308172,11.16355239,0.05223665,0.111584236
8166.5,110.5141715,-6.224383464,40.36027397,2225.495989,11.75085336,0.045687118,0.101673292
8167,110.6091629,-1.575866292,36.03802699,21.2405558,12.72028376,0.057038397,0.098736902
8167.5,105.1831671,-1.475301495,25.47752271,9.39258524,13.27183526,0.066795402,0.104607613
8168,102.2836176,-3.168480236,20.65230587,18.35722971,11.2490903,0.103896947,0.120207026
8168.5,104.8063046,-3.927846988,15.37191469,15.37655961,9.197077841,0.130870601,0.143108539
8169,106.1117513,-2.765238709,11.86017251,9.869459774,8.082669363,0.131878282,0.158732513
8169.5,106.8256122,-1.326033489,11.97393047,7.77120971,7.302840913,0.122642167,0.161847249
8170,111.7455008,-0.218928516,13.51919244,7.318776131,6.783733888,0.109052726,0.162012938
8170.5,116.5656481,0.614544102,12.82835173,7.360336984,6.489405432,0.092699919,0.169096763
8171,118.6117723,1.238401015,10.3765669,7.193235589,6.311323163,0.078731903,0.18511306
8171.5,118.2441379,1.706127604,8.085379292,6.759988079,6.094162946,0.0736487,0.206023295
8172,116.6778033,2.052515951,6.85866728,6.185096346,5.708740338,0.082206035,0.224966442
8172.5,115.2174871,2.310437212,6.75642253,5.58469226,5.197173153,0.101756916,0.23246713
8173,114.9740442,2.512762549,7.024814394,5.059489442,4.738439802,0.127675698,0.22961902
8173.5,115.573826,2.692200251,6.963277446,4.6783723,4.456734453,0.150903389,0.226000876
8174,115.9570306,2.857454619,6.656982315,4.469884399,4.337195702,0.161480583,0.224462294
8174.5,115.060148,2.968099729,6.446348498,4.377918345,4.295631635,0.165885882,0.223431866
8175,112.2851029,2.990099796,6.59545569,4.337818878,4.256873855,0.169814517,0.22219862
8175.5,108.920615,2.936235376,7.00004264,4.32300356,4.160852234,0.17005535,0.2205142
8176,106.7334501,2.830332149,7.33175176,4.39350321,4.195918746,0.161987982,0.218529617
8176.5,107.1249615,2.696215798,7.278118077,4.618363423,4.578314753,0.148282447,0.218438497
8177,108.91047,2.557712005,6.948872577,5.01389734,4.815470495,0.132143134,0.222152828
8177.5,110.494165,2.438646453,6.601587463,5.521585645,4.904169428,0.108890111,0.228016422
