Depth,GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8136.5,92.17417833,-10.25937558,5.120066833,4.065663281,4.269055761,0.092290291,0.257987895
8137,92.36287411,-10.33378893,5.068409663,4.108999968,4.277583145,0.093641099,0.257955065
8137.5,91.27835257,-10.32833277,4.925158186,4.102790797,4.248728552,0.092550051,0.256711221
8138,90.75603631,-10.09703295,4.730459484,4.092881178,4.19724263,0.089237012,0.254560416
8138.5,91.76140429,-9.57027774,4.560937816,4.116451193,4.122632941,0.085317406,0.252544734
8139,92.48322389,-9.330516968,4.48438895,4.116353392,4.003361718,0.082456943,0.251747883
8139.5,91.59378644,-10.83395288,4.567417503,3.985682508,3.828309729,0.082400613,0.252636997
8140,90.01186595,-14.47640786,4.856533853,3.640158351,3.642254728,0.087295902,0.254468713
8140.5,88.95157805,-20.37559161,5.329007576,3.197345567,3.502550705,0.099067903,0.256233746
8141,89.12676937,-29.03083106,5.947767429,2.937784615,3.42495941,0.115290974,0.256388187
8141.5,90.01113606,-38.6705326,6.636820235,2.829293668,3.370658348,0.131159874,0.253269068
8142,90.89020567,-45.38854142,7.209964396,2.793680243,3.300719683,0.145827597,0.24787627
8142.5,91.32638879,-47.27056556,7.420946318,2.786640849,3.214837985,0.159061522,0.246107071
8143,91.57977222,-46.50740421,7.19345508,2.820569624,3.150265896,0.165912393,0.24976663
8143.5,92.01861623,-44.44701584,6.64870057,2.919224456,3.138640646,0.162031879,0.255377556
8144,93.00132584,-41.66250052,5.998917409,3.100542904,3.189855422,0.148730976,0.260222051
8144.5,94.49538916,-36.32267344,5.445691488,3.264406478,3.310872003,0.134757955,0.264057199
8145,95.95592267,-27.92962535,5.086777682,3.384318739,3.501066773,0.125674807,0.266998232
8145.5,96.81391899,-20.82251679,4.891084128,3.528830954,3.724753292,0.119906643,0.269160382
8146,96.89237712,-16.04783055,4.824060538,3.725277968,3.930248967,0.115492749,0.270658879
8146.5,96.51195986,-12.85003307,4.861975498,3.956280919,4.070096933,0.110472407,0.271606948
8147,95.69990019,-10.66067626,4.968991799,4.198139723,4.158190888,0.102975297,0.272098943
8147.5,93.64149261,-9.077003772,5.096100586,4.422333953,4.229911791,0.093297,0.272218882
8148,90.61252436,-7.707330919,5.189846312,4.599075215,4.323995912,0.083948344,0.272050679
8148.5,88.80548522,-6.301880715,5.203239511,4.69665389,4.462115922,0.077515424,0.271678247
8149,89.15373482,-4.760157214,5.151298521,4.692323119,4.624002196,0.075149545,0.271185498
8149.5,91.01974726,-3.11233236,5.073739827,4.601863907,4.780793643,0.075814882,0.27064856
8150,93.62418266,-1.538667283,5.007190803,4.45380154,4.899704894,0.078291701,0.269805695
