Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8105,90.96300908,-4.761829038,7.436843832,5.503362918,5.397702205,-0.03107264,0.271067081
8105.5,88.2774767,-5.273969251,11.57047461,6.414623074,5.558987381,-0.031783425,0.219027417
8106,86.37439963,-5.738689152,19.98831398,7.343909089,5.691796804,-0.026993189,0.180578479
8106.5,84.91761547,-6.215228012,20.32527326,7.951341881,5.845983937,-0.018140688,0.167779609
8107,83.35668714,-6.725935346,13.06589056,7.954613912,6.093335864,-0.006664681,0.1820738
8107.5,80.21818754,-7.222909268,8.443774963,7.554717711,6.448320382,0.004885151,0.209804895
8108,74.80186232,-7.678018903,6.503315946,7.156131088,6.452797692,0.018227993,0.232979683
8108.5,74.13276897,-8.348682036,6.464781187,6.911670423,6.177988022,0.047113953,0.239431533
8109,78.70730621,-9.64312414,7.220437236,6.616190918,5.943587042,0.07997005,0.232612557
8109.5,82.01281986,-11.47071275,7.635887517,6.327009887,5.725710307,0.089949405,0.226297929
8110,85.67444188,-13.00724723,7.579603752,6.205153106,5.521254798,0.086833831,0.234154994
8110.5,88.58866684,-13.60377515,7.153313353,6.133373508,5.364585914,0.079188009,0.247960389
8111,89.49543309,-13.44748287,6.612356756,5.951188727,5.288229259,0.072098793,0.249025901
8111.5,88.04836877,-12.83576819,6.628024767,5.665931791,5.290341123,0.071673768,0.239217926
8112,86.33454798,-12.13475308,7.056499481,5.434581173,5.335954015,0.073888361,0.235410752
8112.5,85.02522418,-11.81451674,7.023484886,5.387710667,5.389065889,0.073110288,0.248644085
8113,86.24771243,-12.01568734,6.220538124,5.504187432,5.421572519,0.066656128,0.253249428
8113.5,86.94109432,-11.90647118,5.864522743,5.65742803,5.443012569,0.058064532,0.255794613
8114,83.46578064,-10.93797524,6.186900857,5.709308708,5.473413574,0.050612954,0.263603735
8114.5,77.56409636,-10.75829211,7.121264061,5.828944024,5.533305315,0.055392832,0.250242683
8115,74.3940895,-11.6877316,8.065573169,6.277389257,5.63955653,0.079441466,0.238295788
8115.5,74.70044242,-13.3198702,7.897053274,6.557536087,5.778186661,0.087701544,0.220014792
8116,76.83727427,-15.13801797,7.485445538,6.665479257,5.920753677,0.088118916,0.19325135
8116.5,77.37035622,-16.70591207,8.176442844,6.72054517,6.035284178,0.088773413,0.174534517
8117,76.02756246,-18.05318047,10.22166707,6.763788555,6.078424389,0.086900035,0.169998011
8117.5,74.55718115,-19.26100091,11.99207124,6.838978205,6.001347856,0.086390484,0.164251858
8118,72.45770949,-20.30874612,11.70126251,6.766514277,5.811653413,0.098143982,0.173706966
8118.5,72.7447333,-21.01516004,9.140091087,6.472737467,5.899697728,0.063550714,0.191423583
8119,73.08962549,-20.69208461,7.718838719,6.541239415,6.701337666,0.042594345,0.20468595
8119.5,69.47325842,-19.5299831,6.87368108,7.072551349,7.554488765,0.038998221,0.2210278
8120,62.18450137,-18.11150082,12.56392206,8.332791389,7.921599695,0.063888911,0.217105647
8120.5,53.78024273,-17.48687874,24.55855819,9.923334623,7.992833373,0.054445047,0.149291687
8121,62.58513619,-17.46403195,46.32720608,10.26255528,7.956578518,0.025435348,0.097768499
8121.5,46.52191643,-17.07985116,38.42406758,10.04458847,7.880746335,0.014222994,0.097735574
8122,4.082923569,-15.87961311,23.50409624,9.59249565,7.805497029,0.038478185,0.12491023
8122.5,98.78902363,-14.45391754,13.61918043,8.948602,7.652986737,0.046861096,0.154807826
8123,84.35039345,-13.08820803,8.095410081,8.172532822,7.350835909,0.051959895,0.186702692
8123.5,95.1457649,-11.75578808,7.616339521,7.346447754,6.884942408,0.046392565,0.206566513
8124,89.92344355,-10.70196752,8.046278036,6.588030268,6.287647046,0.044606816,0.21414595
8124.5,84.62753884,-10.95850474,9.512916406,6.006765007,5.837834874,0.051245636,0.214462405
8125,88.24644642,-12.1734924,10.68927861,5.627837063,5.466264137,0.070686901,0.207199199
8125.5,93.60567183,-12.44073065,10.12992859,5.329413606,5.011269289,0.077923353,0.198116161
8126,101.6288835,-10.33060654,5.381084013,4.990956285,4.868928573,0.067258018,0.266778061
8126.5,98.74413922,-9.487276591,4.587137184,4.6342442,4.908653938,0.059094944,0.298796279
8127,94.94341147,-9.038522396,6.269998796,4.509515614,4.904659887,0.066399285,0.257615305
8127.5,92.38300727,-7.709643195,7.507206436,4.691712965,4.812552208,0.063052695,0.209832042
8128,97.15743476,-6.777267795,6.902622115,4.949847215,4.721680712,0.043266971,0.208777758
8128.5,102.1543793,-6.503243207,5.836668408,5.01631501,4.704755556,0.0246855,0.229282309
8129,102.9557572,-6.233477206,5.550331993,4.876552495,4.704471494,0.030961552,0.244005454
8129.5,101.3561256,-4.518803478,5.940596585,4.668030273,4.598265338,0.041004289,0.250928176
8130,100.9154746,-2.560557021,5.277896324,4.486958141,4.32196783,0.046963005,0.261904379
8130.5,103.7725917,-1.948999738,4.787523163,4.348981017,4.073408578,0.047058175,0.271637825
8131,108.8269542,-1.767572757,4.622704252,4.257911159,3.992073234,0.054855563,0.269019329
8131.5,113.4837372,-1.568033686,4.776853095,4.200672327,4.023900867,0.047217437,0.260351926
8132,117.314103,-1.392982613,5.09100226,4.153873089,4.106168257,0.019429069,0.25866774
8132.5,120.3963363,-1.313127222,5.080208285,4.096235686,4.180695787,0.008539632,0.269745252
8133,122.0456754,-1.349893214,4.696184205,4.036494265,4.228036433,0.01232136,0.27195567
8133.5,119.0492798,-1.522827308,5.170150086,4.014813531,4.248836001,0.046229066,0.263379527
8134,111.5836839,-1.851476226,5.699713914,4.072901375,4.268029965,0.058107547,0.254293797
8134.5,111.0796955,-2.354450042,5.734775801,4.249483296,4.360948982,0.051169519,0.245456692
8135,110.0812767,-3.017679826,5.426420299,4.471872441,4.616379455,0.042563571,0.242966737
8135.5,108.6890545,-3.791180944,5.029833551,4.564660505,5.028538086,0.038816467,0.259909862
8136,105.0712682,-4.72591553,4.9701277,5.210383466,5.398098219,0.040409167,0.271682176
8136.5,94.59453622,-5.975218861,6.057091566,6.689320488,5.539681242,0.04503661,0.258072194
