Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8081.5,35.22989342,-85.64260046,6.79776774,1.405713051,1.283514402,0.184574199,0.185657759
8082,34.85374709,-85.19338963,6.96539463,1.427657532,1.313336538,0.183391534,0.184669177
8082.5,34.71689321,-84.77754629,7.06596304,1.4496545,1.343036223,0.1824287,0.184970911
8083,35.13304515,-84.42071121,7.080453606,1.47161162,1.368995397,0.181692626,0.183828615
8083.5,36.06942563,-84.14852513,7.049702729,1.487743347,1.3861851,0.181190962,0.181505753
8084,37.19098977,-83.98662881,7.018323453,1.491758772,1.390181989,0.181444918,0.178959065
8084.5,37.86273695,-83.96066301,7.004238718,1.478493032,1.382212268,0.183450645,0.177087762
8085,37.50189338,-84.09626849,7.00808266,1.455422695,1.366235469,0.186166451,0.176652141
8085.5,36.49311225,-84.40992274,7.030321905,1.437997033,1.346241962,0.18827535,0.178364492
8086,35.73999032,-84.55964904,7.071571347,1.439115343,1.32613528,0.189222701,0.181055921
8086.5,35.70945939,-83.73653065,7.132608181,1.440763935,1.310545162,0.188978131,0.181431043
8087,36.20686094,-81.67705997,7.214388619,1.41144132,1.304620531,0.187521583,0.18202591
8087.5,36.9695863,-80.36098994,7.315401575,1.40162116,1.313587291,0.184795164,0.182626971
8088,37.72119224,-78.8327011,7.340117813,1.416088918,1.343230788,0.180492047,0.181699027
8088.5,38.20158228,-68.4682864,7.081179928,1.43208819,1.39904746,0.174204808,0.178241736
8089,38.17946481,-61.920142,6.517100244,1.439693093,1.467702624,0.166338244,0.173914932
8089.5,38.03237542,-58.82822644,6.022352471,1.481890849,1.520806886,0.158954799,0.171203894
8090,39.35266783,-58.02838578,5.845431819,1.597671872,1.541514779,0.147617076,0.172590859
8090.5,42.98934237,-57.72771759,5.662167204,1.707278313,1.522312546,0.13096648,0.177307871
8091,44.17753281,-55.30776896,5.05375004,1.733242172,1.469920742,0.133227019,0.179877629
8091.5,40.36643959,-51.29392191,4.318074983,1.656807099,1.394303141,0.155781509,0.20569415
8092,37.3108267,-59.05362917,4.027882714,1.526752843,1.299472128,0.191702121,0.225533526
8092.5,36.71837654,-72.08194149,4.30917423,1.392983956,1.192594892,0.221673002,0.212985447
8093,37.01777588,-74.56629499,4.855042864,1.288607158,1.10816353,0.231414795,0.210732675
8093.5,36.7306384,-79.31455477,5.229500523,1.217454912,1.083551246,0.225305771,0.213182975
8094,35.65436874,-81.46619706,5.201194254,1.176291192,1.102379701,0.210023557,0.215411328
8094.5,34.43436634,-81.2065867,5.180798355,1.163399792,1.135894611,0.196547613,0.215614218
8095,34.16374804,-80.55841746,5.491518778,1.178981613,1.174700065,0.188831758,0.210443619
8095.5,35.73438232,-79.73640725,5.620282103,1.225351624,1.21082547,0.187527593,0.208408944
8096,39.60395401,-78.78697216,5.546205339,1.301611042,1.234944714,0.190584817,0.204886199
8096.5,43.08040335,-77.60438479,5.672283779,1.363648036,1.234553289,0.194435067,0.211173443
8097,44.0364886,-75.5003295,5.732727723,1.371199982,1.207783058,0.197573937,0.218777434
8097.5,43.65555815,-71.06287264,5.256999229,1.342504635,1.173165181,0.199539745,0.236237888
8098,43.15264453,-63.37422782,4.38316008,1.303424911,1.147309953,0.19975634,0.256190593
8098.5,42.83041957,-58.43524224,3.785136396,1.26820671,1.132922843,0.197571096,0.263346459
8099,43.27670801,-58.63505334,3.512286543,1.242412438,1.12479425,0.194455895,0.258497025
8099.5,45.95906766,-61.42319834,3.519940404,1.230359659,1.117369535,0.193348409,0.251639669
8100,48.66289816,-63.63325014,3.556612616,1.224018398,1.105272469,0.196512769,0.244592851
8100.5,48.61205799,-66.14682531,3.620153475,1.205420303,1.083454598,0.200792347,0.234055042
8101,46.25887358,-66.91442687,4.272716789,1.166045451,1.051998508,0.200546608,0.22996279
8101.5,45.67069631,-66.1898119,5.28326802,1.113681833,1.018927714,0.194758531,0.232155842
8102,47.31874897,-65.28088048,4.875971992,1.057055098,0.992123852,0.191249074,0.249546233
8102.5,48.27301264,-64.29031411,3.635144767,1.003364934,0.973687138,0.197557633,0.245573232
8103,45.16473182,-61.18962299,2.778515688,0.958086428,0.956145049,0.20850771,0.234930686
8103.5,35.73318263,-59.76008725,2.654321628,0.925708275,0.934756551,0.215047143,0.228875935
8104,28.74383583,-72.52411408,3.061163649,0.91034604,0.909915197,0.217143443,0.226890033
8104.5,27.23865013,-82.02567092,3.751121069,0.916434913,0.882410998,0.216242886,0.211189292
8105,29.25245285,-84.1957035,4.202017192,0.943457445,0.854440899,0.212873929,0.213050798
8105.5,30.56694651,-85.48369732,4.302327634,0.981099524,0.834965969,0.207421446,0.20536528
8106,28.00363373,-85.69384182,4.320026516,1.016952139,0.834459754,0.205314824,0.198236365
8106.5,27.28718675,-85.1049118,4.415739123,1.038962654,0.864303953,0.2080935,0.201036574
8107,28.25511487,-84.3081452,4.616087679,1.048075316,0.936460191,0.211102083,0.208371725
8107.5,29.66056914,-82.80748047,4.947503305,1.058917246,1.032925229,0.209619046,0.207970378
8108,30.74310617,-80.94853365,5.327269395,1.087537912,1.106950406,0.203826123,0.196429076
8108.5,32.63545334,-79.0643241,5.503005434,1.159873843,1.119686437,0.197881599,0.195511848
8109,41.58238523,-75.3545541,5.285001043,1.290622242,1.104524629,0.189268205,0.206442818
8109.5,57.67579286,-69.84547772,4.776699231,1.464940963,1.112542589,0.160698142,0.218600798
8110,76.79611685,-63.63552269,4.290370803,1.658970905,1.198040941,0.122218357,0.22891313
8110.5,94.13539797,-57.14939544,4.140054163,1.859683031,1.444082379,0.087626084,0.237176584
8111,104.5924515,-48.76274323,4.326953247,2.070393779,2.033943295,0.061867781,0.241110849
8111.5,105.9975566,-37.23120518,4.472521299,2.292758474,2.955527199,0.048243094,0.251723053
8112,105.2732719,-25.32979829,4.200773723,2.520458178,3.805992823,0.050030436,0.263863361
8112.5,104.8137516,-17.06304684,3.795848596,2.736293355,4.07240861,0.0665104,0.271548959
8113,105.0584705,-15.77057395,3.729902374,2.884046987,3.394991768,0.088279653,0.270132336
8113.5,106.2285912,-20.46520334,4.308208789,2.901949445,2.122386495,0.110464361,0.263045288
8114,108.3972601,-27.22346636,5.307570822,2.842780897,1.276402205,0.159611068,0.257284604
8114.5,111.0357298,-33.09806478,5.864969922,2.77950813,1.131843642,0.178878806,0.252390316
8115,113.415418,-36.13963952,6.065394524,2.666862987,2.274207695,0.171887858,0.251778492
8115.5,115.6618284,-37.76747503,6.175756805,2.558102582,9.189417417,0.157981476,0.255965603
8116,116.3491896,-37.01208118,6.201618414,2.612005252,2.895529076,0.143732572,0.256909535
8116.5,110.6736981,-31.75165498,6.020776124,2.768330795,0.569336731,0.128275411,0.25332253
8117,108.1666171,-27.26792666,5.543902867,2.935765961,121.6726816,0.105444865,0.250139479
8117.5,107.7573836,-23.0191607,4.920222333,3.108221768,3.733547958,0.080592225,0.250515232
8118,106.93345,-17.72238247,4.474624738,3.293058044,1.825137104,0.071850956,0.254523976
8118.5,105.8228601,-11.862063,4.2644495,3.443541031,3.533489576,0.079469799,0.25789418
8119,104.584463,-6.688627925,4.177400377,3.530960385,3.39747917,0.089968161,0.260114131
8119.5,103.0982876,-3.395226724,4.145326884,3.569298333,3.693367933,0.099006476,0.262881016
8120,101.1187049,-2.124479104,4.162998314,3.582299693,3.766853799,0.104782228,0.267481262
8120.5,98.24755185,-2.129314253,4.231965911,3.627888098,3.749858892,0.107467266,0.27283713
8121,98.90596947,-2.641992088,4.315705316,3.783524143,3.728915296,0.106457629,0.276523086
8121.5,104.8014811,-2.901448437,4.344919033,4.017220829,3.830902671,0.096897191,0.274631032
8122,111.8654392,-2.470154113,4.296410992,4.164598512,4.145245524,0.083450556,0.268774665
8122.5,115.9480168,-1.44399142,4.182598506,4.217523961,4.181565878,0.074655889,0.263794948
8123,114.1988179,-0.339345852,4.076145775,4.238441434,4.154547324,0.071916176,0.263389477
8123.5,107.3812715,-1.57803344,4.288648869,4.293899075,4.229224281,0.073313113,0.264751382
8124,99.96171727,-6.911854048,5.238798822,4.445240046,4.366236716,0.089272857,0.264960601
8124.5,88.43433764,-11.54383654,6.789550119,4.662277389,4.400377566,0.097617386,0.261944575
8125,84.68289648,-17.39882654,8.705374979,4.847617143,4.281375583,0.085070473,0.256472113
8125.5,82.84496747,-23.73601623,10.54958122,4.888546521,4.076617481,0.067511687,0.25285555
8126,80.2375606,-26.42099034,10.75649002,4.677958158,3.853958587,0.067874718,0.246380958
8126.5,77.81616091,-27.2002023,8.881495683,4.232273544,3.670048217,0.093836625,0.236461158
8127,84.57291933,-27.35658922,7.539133837,3.795028382,3.564760394,0.120897107,0.236352222
8127.5,98.58044995,-27.03846565,6.805094729,3.506333658,3.482429519,0.13260917,0.242649826
8128,107.8243543,-26.46601071,6.226086802,3.351014464,3.373517352,0.126564618,0.249188986
8128.5,107.9838902,-26.94294028,5.5468708,3.311414683,3.35150435,0.110545537,0.2550294
8129,103.8396513,-23.95614647,4.8872164,3.368014543,3.417820755,0.097278208,0.26197422
8129.5,101.3033204,-14.49693968,4.55144324,3.476805132,3.537204586,0.103391683,0.26908573
8130,100.7929871,-11.31044912,4.691224018,3.594250496,3.676048781,0.109121683,0.274151309
8130.5,100.7588871,-9.523005046,4.942131918,3.707728475,3.812703636,0.086182295,0.274661811
8131,100.4276539,-8.563011938,4.992822272,3.815354897,3.927964031,0.078491068,0.269703629
8131.5,103.2564377,-8.036401441,4.954826375,3.915129157,4.003663242,0.076799715,0.270457678
8132,106.2716604,-6.170096436,4.960027194,4.004958998,4.040156098,0.068809347,0.228275754
8132.5,105.4077108,-1.205037621,5.068845101,4.083510228,4.046417182,0.066354188,0.21484544
8133,105.8568886,3.15746067,5.267344153,4.15339324,4.032349553,0.066532457,0.225068245
8133.5,108.5518627,4.381301901,5.36890442,4.216869926,4.008148412,0.06525935,0.241424617
8134,116.1032321,3.587967818,5.168041059,4.269384458,3.982962664,0.064410628,0.246711937
8134.5,122.9290429,2.074933961,4.854154481,4.302357383,3.960530524,0.066324723,0.240948354
8135,125.6744033,1.139675865,4.712087077,4.306345412,3.942746848,0.072209964,0.242049498
8135.5,125.4789219,2.07966907,4.681323032,4.272808251,3.931482716,0.072493714,0.251150484
